ACC_X,ACC_Y,ACC_Z
22.247314,7.415771,141.540527
21.972656,7.598877,142.364502
21.057129,7.232666,140.533447
20.782471,6.774902,141.448975
21.331787,6.958008,140.991211
21.240234,6.683350,140.167236
19.683838,5.859375,140.075684
19.958496,5.035400,138.336182
20.141602,5.859375,137.969971
19.592285,6.500244,136.230469
19.866943,5.676270,133.850098
18.035889,5.584717,131.561279
18.218994,5.218506,131.469727
18.127441,4.302979,128.906250
17.761230,5.310059,128.997803
18.676758,3.845215,126.342773
19.592285,4.302979,124.969482
18.585205,4.119873,123.413086
18.218994,5.310059,123.321533
17.944336,4.760742,120.758057
17.028809,3.845215,119.110107
17.944336,4.119873,119.018555
18.585205,4.486084,116.729736
18.493652,3.662109,115.447998
18.676758,4.394531,115.081787
18.859863,4.486084,114.074707
17.211914,2.838135,113.067627
17.578125,4.028320,111.236572
17.578125,4.028320,110.961914
17.669678,3.479004,109.222412
17.303467,3.753662,109.222412
18.402100,4.669189,108.398438
18.859863,4.577637,107.940674
17.669678,3.112793,107.025146
17.395020,4.119873,106.292725
16.845703,2.197266,106.292725
18.218994,3.112793,105.651855
18.218994,3.295898,106.567383
17.395020,3.021240,107.391357
19.134521,3.204346,107.757568
18.768311,4.486084,108.398438
18.127441,3.570557,110.321045
18.035889,3.112793,109.497070
17.120361,3.845215,110.870361
18.127441,4.119873,111.328125
18.951416,4.486084,114.257812
18.676758,4.119873,113.891602
17.852783,2.838135,113.800049
19.042969,4.394531,116.912842
17.669678,3.112793,118.469238
18.768311,5.035400,118.927002
18.402100,3.021240,119.934082
17.669678,3.112793,120.849609
18.676758,4.394531,123.046875
17.578125,5.493164,124.328613
18.035889,5.401611,123.413086
17.486572,5.035400,126.159668
16.479492,5.310059,126.708984
18.951416,5.218506,126.342773
17.761230,5.310059,127.899170
18.676758,5.859375,129.272461
17.303467,5.584717,130.096436
18.493652,5.584717,129.272461
18.310547,4.394531,129.638672
17.395020,4.577637,130.279541
18.127441,5.035400,130.920410
18.676758,5.310059,130.645752
18.676758,5.584717,131.103516
18.676758,4.852295,130.187988
17.761230,5.584717,128.723145
18.493652,6.591797,128.631592
18.493652,4.669189,126.983643
18.493652,4.852295,125.885010
16.571045,5.401611,124.877930
16.845703,5.950928,124.877930
16.754150,4.943848,124.053955
16.754150,4.760742,121.948242
16.113281,4.119873,119.750977
16.845703,4.943848,118.469238
15.838623,5.126953,119.018555
16.113281,4.943848,118.560791
15.838623,4.302979,117.004395
15.472412,3.936768,114.532471
16.387939,3.845215,114.257812
15.930176,4.028320,113.250732
15.563965,5.493164,113.800049
15.563965,5.584717,113.708496
15.838623,4.760742,111.785889
16.296387,4.394531,111.236572
16.479492,4.486084,111.236572
17.669678,4.394531,110.412598
18.951416,4.669189,110.412598
19.134521,3.570557,110.046387
17.944336,4.577637,111.236572
18.951416,4.211426,110.412598
18.951416,4.302979,110.687256
18.035889,4.394531,111.968994
18.127441,4.119873,111.785889
18.676758,4.302979,111.694336
17.944336,3.936768,112.884521
18.585205,5.310059,115.081787
18.218994,4.394531,115.905762
18.402100,4.577637,116.088867
19.409180,4.394531,117.095947
20.233154,4.577637,120.117188
20.416260,5.126953,120.574951
20.324707,5.126953,120.574951
19.958496,6.225586,121.215820
19.958496,6.500244,119.934082
20.416260,6.500244,119.934082
19.958496,4.669189,122.222900
19.958496,5.767822,122.314453
18.951416,5.767822,122.314453
18.035889,4.577637,122.497559
18.035889,5.126953,124.694824
20.050049,5.126953,126.068115
19.500732,5.584717,126.068115
19.226074,6.317139,127.624512
19.226074,6.317139,128.540039
20.507812,6.500244,128.540039
20.507812,6.408691,128.723145
18.951416,6.408691,128.723145
18.585205,5.493164,128.173828
18.585205,5.126953,129.547119
19.592285,5.126953,129.547119
19.134521,7.324219,131.378174
19.226074,5.859375,131.011963
19.226074,5.859375,130.462646
18.859863,5.310059,130.462646
18.310547,5.126953,133.026123
18.310547,5.584717,132.751465
18.493652,5.584717,132.751465
18.676758,7.141113,133.758545
18.676758,7.598877,134.674072
18.585205,7.598877,134.674072
19.134521,6.317139,134.490967
19.134521,6.774902,135.314941
18.859863,6.774902,135.314941
19.226074,5.493164,135.314941
19.592285,6.591797,136.322021
19.592285,6.591797,137.054443
19.500732,6.774902,137.054443
19.500732,5.859375,136.871338
19.042969,5.859375,137.695312
18.676758,6.317139,137.695312
18.676758,6.958008,137.695312
18.859863,6.774902,139.343262
18.859863,6.774902,137.512207
18.402100,5.950928,137.512207
17.944336,6.774902,137.329102
17.944336,5.950928,137.786865
18.402100,5.950928,137.786865
17.669678,6.958008,138.336182
18.768311,7.690430,137.878418
18.768311,6.042480,137.786865
18.676758,6.042480,137.786865
17.852783,6.500244,138.610840
17.852783,6.500244,138.519287
17.761230,6.225586,138.519287
17.395020,7.232666,138.336182
17.395020,7.232666,137.969971
17.761230,7.690430,137.969971
17.761230,7.324219,135.955811
18.218994,7.324219,135.955811
18.493652,6.774902,135.681152
18.493652,6.225586,137.054443
17.120361,6.225586,137.054443
18.768311,5.767822,135.772705
18.768311,5.950928,135.955811
18.035889,5.950928,135.955811
18.493652,6.591797,135.406494
18.493652,7.415771,135.040283
18.402100,7.415771,135.040283
18.585205,6.683350,135.040283
18.951416,7.324219,133.758545
18.951416,7.324219,132.751465
19.775391,7.049561,132.751465
18.493652,5.493164,133.117676
18.493652,5.493164,133.117676
17.944336,6.225586,133.117676
17.669678,5.035400,131.652832
17.669678,5.035400,131.652832
18.402100,6.134033,131.652832
18.402100,5.310059,129.547119
