ACC_X,ACC_Y,ACC_Z
730.047974,517.280029,429.440002
722.239990,519.231995,431.391998
728.096008,519.231995,437.247986
726.143982,517.280029,435.295990
724.192017,511.424011,439.200012
726.143982,511.424011,433.343994
724.192017,517.280029,429.440002
722.239990,505.567993,437.247986
718.335999,515.328003,437.247986
726.143982,511.424011,429.440002
732.000000,511.424011,429.440002
730.047974,517.280029,435.295990
726.143982,517.280029,435.295990
728.096008,507.519989,431.391998
724.192017,509.471985,435.295990
726.143982,505.567993,439.200012
724.192017,501.664001,443.104004
726.143982,517.280029,439.200012
732.000000,511.424011,437.247986
735.903992,511.424011,439.200012
735.903992,499.712006,429.440002
726.143982,505.567993,439.200012
735.903992,517.280029,439.200012
735.903992,511.424011,439.200012
730.047974,511.424011,439.200012
732.000000,505.567993,433.343994
739.807983,505.567993,433.343994
739.807983,509.471985,433.343994
732.000000,505.567993,429.440002
743.711975,509.471985,431.391998
733.952026,503.615997,439.200012
733.952026,507.519989,441.152008
743.711975,509.471985,437.247986
733.952026,507.519989,443.104004
743.711975,511.424011,437.247986
733.952026,507.519989,435.295990
730.047974,505.567993,435.295990
743.711975,509.471985,437.247986
733.952026,509.471985,439.200012
737.856018,493.855988,425.536011
730.047974,497.760010,445.056000
732.000000,503.615997,443.104004
730.047974,503.615997,441.152008
733.952026,505.567993,437.247986
732.000000,513.375977,439.200012
730.047974,507.519989,441.152008
737.856018,503.615997,433.343994
728.096008,505.567993,437.247986
732.000000,499.712006,445.056000
726.143982,505.567993,437.247986
728.096008,505.567993,435.295990
737.856018,503.615997,443.104004
732.000000,509.471985,447.007996
732.000000,511.424011,441.152008
735.903992,509.471985,433.343994
732.000000,505.567993,429.440002
732.000000,509.471985,447.007996
732.000000,505.567993,425.536011
730.047974,505.567993,429.440002
728.096008,505.567993,433.343994
732.000000,499.712006,431.391998
730.047974,495.808014,425.536011
728.096008,497.760010,433.343994
728.096008,503.615997,439.200012
722.239990,503.615997,427.488007
732.000000,511.424011,427.488007
730.047974,505.567993,435.295990
728.096008,505.567993,429.440002
730.047974,517.280029,433.343994
726.143982,507.519989,429.440002
722.239990,513.375977,437.247986
726.143982,517.280029,437.247986
724.192017,511.424011,437.247986
728.096008,511.424011,439.200012
720.288025,513.375977,425.536011
718.335999,517.280029,439.200012
720.288025,517.280029,437.247986
716.383972,509.471985,437.247986
720.288025,515.328003,429.440002
718.335999,515.328003,431.391998
724.192017,507.519989,435.295990
722.239990,521.184021,439.200012
726.143982,517.280029,433.343994
726.143982,517.280029,433.343994
724.192017,511.424011,435.295990
718.335999,515.328003,437.247986
724.192017,517.280029,429.440002
720.288025,517.280029,445.056000
726.143982,517.280029,441.152008
720.288025,523.135986,439.200012
724.192017,525.088013,443.104004
714.432007,523.135986,439.200012
716.383972,523.135986,429.440002
720.288025,528.992004,433.343994
722.239990,519.231995,435.295990
722.239990,525.088013,435.295990
716.383972,534.848022,437.247986
716.383972,527.039978,429.440002
714.432007,532.895996,429.440002
720.288025,532.895996,429.440002
708.575989,527.039978,429.440002
706.624023,528.992004,439.200012
710.528015,528.992004,439.200012
712.479980,534.848022,433.343994
714.432007,532.895996,429.440002
716.383972,536.799988,443.104004
710.528015,540.703979,433.343994
712.479980,534.848022,431.391998
712.479980,532.895996,421.631989
702.719971,534.848022,427.488007
716.383972,527.039978,417.727997
706.624023,528.992004,427.488007
710.528015,532.895996,437.247986
706.624023,542.656006,431.391998
706.624023,546.559998,435.295990
706.624023,532.895996,435.295990
704.671997,532.895996,425.536011
710.528015,538.752014,429.440002
712.479980,538.752014,433.343994
712.479980,532.895996,431.391998
698.815979,542.656006,429.440002
708.575989,544.607971,427.488007
706.624023,534.848022,431.391998
712.479980,540.703979,435.295990
712.479980,536.799988,431.391998
712.479980,525.088013,421.631989
708.575989,532.895996,427.488007
710.528015,530.943970,429.440002
708.575989,538.752014,425.536011
706.624023,536.799988,435.295990
710.528015,534.848022,433.343994
710.528015,532.895996,435.295990
712.479980,540.703979,435.295990
704.671997,532.895996,435.295990
708.575989,523.135986,433.343994
708.575989,521.184021,429.440002
708.575989,530.943970,431.391998
708.575989,530.943970,431.391998
710.528015,523.135986,433.343994
710.528015,525.088013,433.343994
716.383972,528.992004,433.343994
720.288025,528.992004,437.247986
714.432007,521.184021,435.295990
718.335999,515.328003,429.440002
714.432007,523.135986,441.152008
720.288025,528.992004,433.343994
710.528015,523.135986,441.152008
710.528015,523.135986,439.200012
710.528015,528.992004,439.200012
710.528015,523.135986,429.440002
710.528015,521.184021,433.343994
708.575989,525.088013,445.056000
714.432007,525.088013,443.104004
712.479980,527.039978,439.200012
704.671997,519.231995,447.007996
716.383972,523.135986,439.200012
720.288025,523.135986,441.152008
718.335999,515.328003,443.104004
714.432007,519.231995,445.056000
718.335999,521.184021,441.152008
714.432007,527.039978,447.007996
722.239990,515.328003,441.152008
710.528015,523.135986,439.200012
718.335999,519.231995,447.007996
710.528015,515.328003,443.104004
718.335999,521.184021,433.343994
712.479980,521.184021,435.295990
712.479980,521.184021,433.343994
712.479980,521.184021,429.440002
710.528015,521.184021,441.152008
712.479980,515.328003,443.104004
712.479980,515.328003,433.343994
706.624023,519.231995,447.007996
716.383972,503.615997,435.295990
712.479980,511.424011,437.247986
710.528015,517.280029,443.104004
712.479980,521.184021,435.295990
712.479980,521.184021,437.247986
712.479980,515.328003,431.391998
712.479980,521.184021,439.200012
712.479980,507.519989,443.104004
714.432007,511.424011,437.247986
724.192017,513.375977,429.440002
712.479980,507.519989,425.536011
704.671997,513.375977,437.247986
710.528015,513.375977,435.295990
712.479980,513.375977,431.391998
720.288025,501.664001,431.391998
716.383972,515.328003,437.247986
716.383972,513.375977,431.391998
720.288025,503.615997,439.200012
714.432007,501.664001,425.536011
716.383972,509.471985,431.391998
720.288025,501.664001,429.440002
714.432007,501.664001,429.440002
718.335999,507.519989,441.152008
724.192017,503.615997,437.247986
730.047974,505.567993,439.200012
716.383972,513.375977,437.247986
718.335999,503.615997,435.295990
722.239990,495.808014,431.391998
722.239990,501.664001,429.440002
726.143982,517.280029,439.200012
726.143982,505.567993,433.343994
732.000000,499.712006,435.295990
722.239990,505.567993,431.391998
726.143982,505.567993,439.200012
730.047974,505.567993,429.440002
724.192017,503.615997,437.247986
732.000000,499.712006,443.104004
