ACC_X,ACC_Y,ACC_Z
402.112000,581.695984,714.432007
402.112000,583.648010,710.528015
398.208008,585.599976,710.528015
400.160004,581.695984,722.239990
404.063995,583.648010,714.432007
400.160004,575.840027,714.432007
402.112000,575.840027,718.335999
404.063995,577.791992,714.432007
400.160004,577.791992,720.288025
409.920013,569.984009,722.239990
407.967987,575.840027,706.624023
402.112000,583.648010,710.528015
404.063995,583.648010,710.528015
402.112000,577.791992,702.719971
400.160004,575.840027,712.479980
396.256012,568.031982,724.192017
394.303986,577.791992,716.383972
402.112000,577.791992,712.479980
400.160004,577.791992,716.383972
396.256012,577.791992,714.432007
402.112000,575.840027,710.528015
406.015991,581.695984,708.575989
398.208008,583.648010,710.528015
398.208008,583.648010,710.528015
402.112000,579.744019,706.624023
398.208008,583.648010,722.239990
398.208008,583.648010,710.528015
400.160004,575.840027,712.479980
400.160004,577.791992,718.335999
404.063995,573.888000,712.479980
396.256012,585.599976,714.432007
398.208008,577.791992,716.383972
402.112000,585.599976,708.575989
400.160004,577.791992,716.383972
404.063995,583.648010,716.383972
402.112000,583.648010,718.335999
402.112000,587.552002,716.383972
406.015991,583.648010,716.383972
404.063995,573.888000,712.479980
407.967987,585.599976,710.528015
407.967987,575.840027,704.671997
404.063995,577.791992,712.479980
394.303986,577.791992,720.288025
402.112000,591.455994,722.239990
398.208008,583.648010,716.383972
409.920013,581.695984,712.479980
402.112000,585.599976,714.432007
396.256012,583.648010,714.432007
398.208008,587.552002,720.288025
398.208008,585.599976,710.528015
398.208008,583.648010,710.528015
398.208008,585.599976,714.432007
394.303986,591.455994,720.288025
398.208008,595.359985,714.432007
396.256012,583.648010,714.432007
407.967987,583.648010,720.288025
406.015991,577.791992,710.528015
407.967987,587.552002,714.432007
407.967987,583.648010,712.479980
406.015991,577.791992,714.432007
404.063995,581.695984,728.096008
402.112000,585.599976,720.288025
400.160004,577.791992,714.432007
398.208008,583.648010,720.288025
406.015991,593.408020,722.239990
396.256012,589.504028,714.432007
404.063995,587.552002,714.432007
409.920013,585.599976,708.575989
398.208008,583.648010,720.288025
394.303986,585.599976,724.192017
404.063995,583.648010,714.432007
400.160004,577.791992,712.479980
406.015991,585.599976,728.096008
409.920013,571.935974,720.288025
400.160004,579.744019,712.479980
400.160004,583.648010,716.383972
400.160004,573.888000,720.288025
