ACC_X,ACC_Y,ACC_Z
677.343994,421.631989,737.856018
679.296021,409.920013,747.616028
663.679993,458.720001,769.088013
620.736023,456.768005,772.992004
626.591980,404.063995,788.607971
630.495972,359.167999,788.607971
630.495972,302.559998,804.223999
728.096008,290.847992,815.935974
813.984009,242.048004,821.791992
864.736023,183.488007,819.840027
575.840027,-314.272003,845.216003
-203.007996,-843.263977,872.544006
175.679993,117.120003,714.432007
573.888000,1508.895996,548.512024
540.703979,1575.264038,484.096008
400.160004,1423.008057,484.096008
322.079987,-167.871994,406.015991
650.015991,-1067.744019,322.079987
478.239990,56.608002,337.696014
536.799988,774.943970,353.312012
370.880005,813.984009,378.687988
458.720001,292.799988,365.023987
536.799988,109.311996,366.976013
489.951996,411.872009,409.920013
468.480011,620.736023,437.247986
454.816010,538.752014,476.287994
482.144012,343.552002,491.903992
478.239990,339.648010,532.895996
458.720001,462.623993,556.320007
462.623993,523.135986,579.744019
460.671997,478.239990,595.359985
474.335999,423.584015,607.072021
476.287994,400.160004,609.023987
478.239990,439.200012,620.736023
470.432007,476.287994,632.447998
486.048004,468.480011,634.400024
507.519989,413.824005,636.351990
542.656006,388.447998,638.304016
534.848022,419.679993,632.447998
528.992004,437.247986,640.255981
536.799988,445.056000,642.208008
564.127991,427.488007,651.968018
558.271973,439.200012,651.968018
562.176025,450.911987,675.392029
552.416016,460.671997,679.296021
525.088013,443.104004,685.151978
499.712006,400.160004,679.296021
423.584015,361.119995,683.200012
384.544006,327.936005,663.679993
376.735992,329.888000,650.015991
450.911987,355.264008,622.687988
480.191986,310.368011,626.591980
480.191986,222.528000,632.447998
480.191986,148.352005,628.544006
491.903992,148.352005,634.400024
470.432007,169.824005,642.208008
499.712006,208.863998,640.255981
488.000000,193.248001,632.447998
476.287994,218.623993,636.351990
528.992004,273.279999,636.351990
503.615997,255.712006,648.064026
462.623993,214.720001,648.064026
386.496002,187.391998,644.159973
329.888000,169.824005,644.159973
456.768005,298.656006,612.927979
528.992004,265.471985,603.168030
447.007996,165.919998,609.023987
433.343994,146.399994,601.216003
484.096008,140.544006,609.023987
480.191986,146.399994,618.783997
466.528015,167.871994,632.447998
400.160004,314.272003,648.064026
380.640015,620.736023,636.351990
423.584015,854.976013,634.400024
386.496002,1034.560059,632.447998
411.872009,1132.160034,636.351990
435.295990,1098.975952,640.255981
441.152008,952.575989,665.632019
466.528015,714.432007,694.911987
466.528015,452.864014,722.239990
448.959991,-156.160004,696.864014
612.927979,-583.648010,620.736023
491.903992,-105.407997,663.679993
429.440002,759.328003,708.575989
488.000000,1054.079956,730.047974
456.768005,716.383972,733.952026
365.023987,201.056000,739.807983
427.488007,115.167999,741.760010
419.679993,388.447998,751.520020
433.343994,581.695984,765.184021
464.575989,536.799988,774.943970
478.239990,396.256012,772.992004
489.951996,355.264008,772.992004
474.335999,431.391998,778.848022
540.703979,495.808014,786.656006
497.760010,501.664001,780.799988
474.335999,474.335999,774.943970
480.191986,439.200012,769.088013
448.959991,423.584015,772.992004
441.152008,472.384003,778.848022
454.816010,476.287994,771.039978
468.480011,398.208008,749.567993
480.191986,337.696014,741.760010
447.007996,361.119995,726.143982
439.200012,419.679993,722.239990
454.816010,396.256012,712.479980
474.335999,298.656006,714.432007
470.432007,279.135986,726.143982
464.575989,283.040009,728.096008
478.239990,306.463989,728.096008
476.287994,267.424011,732.000000
445.056000,245.951996,733.952026
437.247986,292.799988,737.856018
464.575989,363.071991,732.000000
486.048004,347.455994,720.288025
351.359985,341.600006,702.719971
357.216003,349.407990,677.343994
398.208008,417.727997,653.919983
427.488007,480.191986,626.591980
406.015991,472.384003,609.023987
396.256012,441.152008,603.168030
404.063995,447.007996,595.359985
353.312012,482.144012,603.168030
359.167999,493.855988,601.216003
386.496002,478.239990,583.648010
386.496002,456.768005,587.552002
407.967987,427.488007,587.552002
