ACC_X,ACC_Y,ACC_Z
745.664001,445.056000,519.231995
739.807983,450.911987,521.184021
739.807983,448.959991,519.231995
739.807983,445.056000,525.088013
743.711975,445.056000,527.039978
741.760010,433.343994,527.039978
741.760010,439.200012,527.039978
741.760010,433.343994,523.135986
745.664001,439.200012,523.135986
741.760010,439.200012,527.039978
741.760010,433.343994,525.088013
739.807983,437.247986,525.088013
743.711975,439.200012,528.992004
735.903992,439.200012,519.231995
730.047974,443.104004,528.992004
733.952026,439.200012,527.039978
732.000000,443.104004,525.088013
733.952026,439.200012,532.895996
743.711975,441.152008,523.135986
739.807983,439.200012,523.135986
737.856018,441.152008,519.231995
733.952026,437.247986,525.088013
730.047974,448.959991,521.184021
728.096008,433.343994,519.231995
735.903992,439.200012,519.231995
739.807983,431.391998,525.088013
739.807983,439.200012,523.135986
737.856018,447.007996,525.088013
737.856018,445.056000,527.039978
743.711975,441.152008,528.992004
730.047974,433.343994,519.231995
733.952026,435.295990,525.088013
739.807983,437.247986,528.992004
737.856018,447.007996,525.088013
730.047974,443.104004,521.184021
732.000000,435.295990,519.231995
739.807983,439.200012,523.135986
732.000000,431.391998,519.231995
732.000000,447.007996,523.135986
733.952026,433.343994,528.992004
737.856018,445.056000,528.992004
732.000000,437.247986,525.088013
730.047974,443.104004,525.088013
739.807983,439.200012,528.992004
733.952026,437.247986,523.135986
730.047974,437.247986,525.088013
730.047974,437.247986,519.231995
735.903992,443.104004,527.039978
735.903992,439.200012,517.280029
732.000000,443.104004,525.088013
726.143982,439.200012,517.280029
733.952026,439.200012,523.135986
732.000000,435.295990,530.943970
739.807983,439.200012,532.895996
732.000000,437.247986,525.088013
739.807983,437.247986,523.135986
735.903992,443.104004,528.992004
726.143982,443.104004,525.088013
732.000000,437.247986,532.895996
728.096008,431.391998,528.992004
726.143982,441.152008,525.088013
730.047974,443.104004,527.039978
737.856018,443.104004,523.135986
730.047974,433.343994,525.088013
730.047974,443.104004,532.895996
728.096008,425.536011,525.088013
726.143982,433.343994,515.328003
732.000000,437.247986,530.943970
730.047974,439.200012,519.231995
741.760010,433.343994,528.992004
726.143982,437.247986,527.039978
728.096008,437.247986,525.088013
732.000000,431.391998,530.943970
737.856018,441.152008,525.088013
733.952026,437.247986,523.135986
732.000000,433.343994,528.992004
728.096008,437.247986,525.088013
730.047974,437.247986,534.848022
726.143982,441.152008,538.752014
733.952026,437.247986,528.992004
732.000000,437.247986,528.992004
726.143982,443.104004,521.184021
730.047974,445.056000,523.135986
730.047974,443.104004,523.135986
733.952026,437.247986,528.992004
733.952026,433.343994,528.992004
732.000000,425.536011,519.231995
735.903992,441.152008,523.135986
730.047974,437.247986,528.992004
737.856018,441.152008,525.088013
732.000000,437.247986,519.231995
726.143982,433.343994,525.088013
728.096008,435.295990,528.992004
730.047974,427.488007,519.231995
733.952026,443.104004,525.088013
737.856018,443.104004,527.039978
733.952026,439.200012,528.992004
732.000000,439.200012,519.231995
741.760010,439.200012,528.992004
739.807983,437.247986,525.088013
741.760010,435.295990,527.039978
730.047974,443.104004,534.848022
728.096008,435.295990,530.943970
733.952026,437.247986,528.992004
739.807983,435.295990,527.039978
735.903992,431.391998,519.231995
739.807983,439.200012,523.135986
732.000000,425.536011,525.088013
730.047974,443.104004,528.992004
733.952026,429.440002,525.088013
732.000000,431.391998,528.992004
733.952026,433.343994,527.039978
730.047974,447.007996,527.039978
733.952026,441.152008,523.135986
743.711975,447.007996,525.088013
737.856018,450.911987,525.088013
747.616028,439.200012,521.184021
741.760010,433.343994,530.943970
741.760010,439.200012,523.135986
735.903992,435.295990,528.992004
741.760010,441.152008,530.943970
737.856018,441.152008,525.088013
741.760010,435.295990,532.895996
737.856018,437.247986,528.992004
728.096008,431.391998,519.231995
733.952026,427.488007,527.039978
733.952026,435.295990,519.231995
743.711975,433.343994,521.184021
735.903992,439.200012,525.088013
737.856018,439.200012,519.231995
741.760010,439.200012,523.135986
737.856018,429.440002,521.184021
739.807983,427.488007,528.992004
739.807983,427.488007,521.184021
733.952026,429.440002,519.231995
735.903992,433.343994,517.280029
730.047974,439.200012,519.231995
739.807983,431.391998,525.088013
732.000000,437.247986,525.088013
737.856018,429.440002,515.328003
733.952026,441.152008,515.328003
732.000000,431.391998,519.231995
737.856018,427.488007,517.280029
732.000000,435.295990,525.088013
732.000000,439.200012,511.424011
732.000000,417.727997,521.184021
726.143982,425.536011,521.184021
732.000000,427.488007,523.135986
732.000000,433.343994,517.280029
728.096008,425.536011,525.088013
733.952026,437.247986,527.039978
730.047974,433.343994,519.231995
726.143982,443.104004,523.135986
739.807983,425.536011,530.943970
737.856018,431.391998,532.895996
732.000000,429.440002,527.039978
733.952026,437.247986,525.088013
732.000000,425.536011,519.231995
739.807983,429.440002,523.135986
733.952026,433.343994,527.039978
714.432007,427.488007,523.135986
730.047974,423.584015,527.039978
728.096008,425.536011,519.231995
733.952026,439.200012,515.328003
726.143982,425.536011,528.992004
732.000000,435.295990,525.088013
730.047974,435.295990,525.088013
732.000000,435.295990,525.088013
728.096008,425.536011,525.088013
730.047974,429.440002,532.895996
730.047974,437.247986,525.088013
739.807983,433.343994,527.039978
735.903992,435.295990,536.799988
728.096008,431.391998,525.088013
739.807983,427.488007,527.039978
739.807983,435.295990,523.135986
743.711975,423.584015,536.799988
735.903992,437.247986,528.992004
733.952026,425.536011,525.088013
728.096008,435.295990,528.992004
730.047974,423.584015,521.184021
730.047974,435.295990,525.088013
739.807983,427.488007,523.135986
737.856018,431.391998,540.703979
737.856018,439.200012,528.992004
739.807983,431.391998,527.039978
733.952026,431.391998,530.943970
737.856018,423.584015,528.992004
739.807983,431.391998,528.992004
739.807983,435.295990,525.088013
735.903992,429.440002,536.799988
730.047974,443.104004,528.992004
732.000000,437.247986,528.992004
733.952026,433.343994,528.992004
741.760010,433.343994,527.039978
732.000000,433.343994,536.799988
733.952026,443.104004,527.039978
728.096008,437.247986,525.088013
728.096008,437.247986,519.231995
732.000000,435.295990,525.088013
732.000000,439.200012,525.088013
730.047974,425.536011,527.039978
739.807983,443.104004,525.088013
732.000000,437.247986,525.088013
726.143982,431.391998,525.088013
733.952026,435.295990,527.039978
728.096008,443.104004,530.943970
728.096008,437.247986,532.895996
728.096008,437.247986,525.088013
730.047974,437.247986,523.135986
728.096008,433.343994,525.088013
726.143982,435.295990,528.992004
732.000000,425.536011,519.231995
732.000000,433.343994,525.088013
728.096008,437.247986,528.992004
732.000000,431.391998,528.992004
728.096008,439.200012,530.943970
722.239990,433.343994,525.088013
730.047974,435.295990,527.039978
724.192017,433.343994,521.184021
728.096008,433.343994,528.992004
728.096008,447.007996,532.895996
726.143982,445.056000,527.039978
728.096008,439.200012,525.088013
732.000000,435.295990,525.088013
732.000000,433.343994,528.992004
726.143982,437.247986,530.943970
732.000000,435.295990,527.039978
726.143982,433.343994,519.231995
732.000000,435.295990,525.088013
732.000000,437.247986,527.039978
735.903992,443.104004,534.848022
726.143982,433.343994,515.328003
735.903992,443.104004,523.135986
730.047974,437.247986,528.992004
732.000000,429.440002,525.088013
733.952026,435.295990,525.088013
733.952026,437.247986,527.039978
730.047974,443.104004,528.992004
735.903992,437.247986,521.184021
735.903992,437.247986,519.231995
728.096008,443.104004,528.992004
728.096008,437.247986,525.088013
722.239990,439.200012,523.135986
732.000000,443.104004,527.039978
732.000000,443.104004,525.088013
732.000000,441.152008,523.135986
735.903992,439.200012,530.943970
732.000000,443.104004,527.039978
737.856018,447.007996,525.088013
726.143982,445.056000,527.039978
735.903992,445.056000,527.039978
730.047974,443.104004,532.895996
730.047974,443.104004,528.992004
732.000000,439.200012,519.231995
728.096008,437.247986,519.231995
726.143982,441.152008,519.231995
733.952026,437.247986,525.088013
737.856018,441.152008,532.895996
733.952026,443.104004,525.088013
732.000000,437.247986,525.088013
732.000000,437.247986,527.039978
733.952026,437.247986,527.039978
730.047974,445.056000,523.135986
732.000000,437.247986,519.231995
732.000000,445.056000,521.184021
728.096008,439.200012,515.328003
732.000000,441.152008,521.184021
724.192017,443.104004,521.184021
728.096008,445.056000,521.184021
726.143982,447.007996,521.184021
722.239990,439.200012,523.135986
720.288025,437.247986,519.231995
724.192017,437.247986,511.424011
726.143982,443.104004,523.135986
726.143982,443.104004,521.184021
726.143982,445.056000,528.992004
730.047974,439.200012,525.088013
732.000000,437.247986,525.088013
733.952026,447.007996,515.328003
728.096008,441.152008,513.375977
726.143982,450.911987,509.471985
722.239990,447.007996,513.375977
722.239990,443.104004,527.039978
714.432007,441.152008,523.135986
726.143982,439.200012,513.375977
726.143982,445.056000,523.135986
720.288025,447.007996,523.135986
726.143982,443.104004,523.135986
728.096008,441.152008,515.328003
724.192017,437.247986,515.328003
728.096008,452.864014,534.848022
724.192017,443.104004,523.135986
726.143982,450.911987,525.088013
726.143982,450.911987,517.280029
726.143982,447.007996,523.135986
724.192017,443.104004,521.184021
741.760010,439.200012,523.135986
728.096008,441.152008,515.328003
726.143982,443.104004,523.135986
726.143982,445.056000,523.135986
730.047974,447.007996,523.135986
724.192017,450.911987,525.088013
724.192017,445.056000,523.135986
728.096008,447.007996,521.184021
726.143982,448.959991,523.135986
730.047974,447.007996,528.992004
730.047974,443.104004,523.135986
730.047974,448.959991,532.895996
726.143982,447.007996,523.135986
733.952026,441.152008,523.135986
724.192017,441.152008,525.088013
735.903992,448.959991,523.135986
730.047974,447.007996,521.184021
726.143982,437.247986,521.184021
726.143982,429.440002,517.280029
728.096008,443.104004,525.088013
732.000000,429.440002,527.039978
728.096008,443.104004,527.039978
726.143982,450.911987,521.184021
737.856018,443.104004,521.184021
739.807983,441.152008,521.184021
728.096008,454.816010,523.135986
728.096008,437.247986,525.088013
735.903992,445.056000,527.039978
728.096008,433.343994,525.088013
735.903992,445.056000,523.135986
735.903992,425.536011,523.135986
733.952026,437.247986,525.088013
728.096008,437.247986,519.231995
732.000000,439.200012,519.231995
730.047974,445.056000,523.135986
732.000000,443.104004,521.184021
728.096008,437.247986,519.231995
737.856018,447.007996,517.280029
726.143982,441.152008,507.519989
733.952026,445.056000,511.424011
724.192017,437.247986,515.328003
735.903992,443.104004,521.184021
728.096008,433.343994,519.231995
728.096008,443.104004,525.088013
737.856018,441.152008,528.992004
735.903992,443.104004,521.184021
733.952026,433.343994,527.039978
733.952026,441.152008,515.328003
733.952026,433.343994,519.231995
732.000000,437.247986,525.088013
739.807983,433.343994,525.088013
733.952026,437.247986,525.088013
733.952026,435.295990,528.992004
733.952026,437.247986,525.088013
732.000000,435.295990,523.135986
726.143982,429.440002,519.231995
733.952026,427.488007,523.135986
733.952026,425.536011,530.943970
732.000000,437.247986,519.231995
728.096008,427.488007,515.328003
732.000000,435.295990,519.231995
730.047974,431.391998,519.231995
730.047974,425.536011,525.088013
728.096008,433.343994,527.039978
732.000000,417.727997,523.135986
739.807983,429.440002,528.992004
733.952026,437.247986,528.992004
741.760010,429.440002,527.039978
733.952026,431.391998,525.088013
737.856018,425.536011,532.895996
722.239990,431.391998,528.992004
722.239990,433.343994,527.039978
730.047974,437.247986,525.088013
732.000000,425.536011,528.992004
739.807983,431.391998,528.992004
737.856018,427.488007,525.088013
737.856018,423.584015,532.895996
735.903992,427.488007,528.992004
733.952026,439.200012,530.943970
732.000000,431.391998,519.231995
735.903992,423.584015,523.135986
743.711975,429.440002,521.184021
735.903992,435.295990,519.231995
733.952026,431.391998,523.135986
735.903992,431.391998,519.231995
737.856018,435.295990,521.184021
735.903992,417.727997,521.184021
735.903992,423.584015,523.135986
737.856018,425.536011,528.992004
732.000000,437.247986,525.088013
739.807983,425.536011,525.088013
733.952026,421.631989,521.184021
739.807983,435.295990,530.943970
741.760010,433.343994,532.895996
741.760010,431.391998,523.135986
743.711975,427.488007,532.895996
739.807983,433.343994,523.135986
737.856018,427.488007,517.280029
741.760010,431.391998,521.184021
739.807983,431.391998,523.135986
735.903992,431.391998,530.943970
741.760010,427.488007,523.135986
737.856018,425.536011,523.135986
741.760010,435.295990,527.039978
741.760010,433.343994,523.135986
730.047974,431.391998,517.280029
733.952026,435.295990,519.231995
739.807983,425.536011,519.231995
733.952026,435.295990,527.039978
735.903992,427.488007,519.231995
735.903992,431.391998,528.992004
733.952026,431.391998,527.039978
733.952026,437.247986,536.799988
733.952026,427.488007,527.039978
