ACC_X,ACC_Y,ACC_Z
521.184021,404.063995,769.088013
515.328003,394.303986,763.231995
517.280029,396.256012,767.135986
521.184021,394.303986,767.135986
515.328003,396.256012,765.184021
521.184021,400.160004,765.184021
515.328003,402.112000,774.943970
511.424011,398.208008,769.088013
521.184021,400.160004,765.184021
527.039978,392.351990,769.088013
521.184021,392.351990,767.135986
525.088013,394.303986,765.184021
523.135986,394.303986,767.135986
523.135986,400.160004,771.039978
521.184021,407.967987,765.184021
525.088013,404.063995,761.280029
525.088013,400.160004,767.135986
525.088013,402.112000,771.039978
528.992004,404.063995,771.039978
528.992004,396.256012,776.895996
528.992004,396.256012,767.135986
519.231995,394.303986,759.328003
519.231995,400.160004,763.231995
528.992004,400.160004,765.184021
532.895996,398.208008,772.992004
528.992004,396.256012,774.943970
528.992004,404.063995,761.280029
528.992004,390.399994,769.088013
527.039978,398.208008,765.184021
527.039978,404.063995,765.184021
527.039978,400.160004,771.039978
527.039978,400.160004,761.280029
528.992004,406.015991,767.135986
523.135986,406.015991,769.088013
532.895996,404.063995,767.135986
528.992004,394.303986,765.184021
530.943970,400.160004,767.135986
527.039978,392.351990,767.135986
527.039978,398.208008,771.039978
532.895996,394.303986,765.184021
527.039978,396.256012,771.039978
532.895996,398.208008,774.943970
532.895996,409.920013,759.328003
523.135986,396.256012,776.895996
527.039978,396.256012,774.943970
534.848022,400.160004,774.943970
536.799988,404.063995,761.280029
534.848022,409.920013,765.184021
519.231995,404.063995,767.135986
536.799988,400.160004,771.039978
542.656006,402.112000,767.135986
530.943970,411.872009,771.039978
532.895996,407.967987,771.039978
536.799988,402.112000,763.231995
528.992004,404.063995,769.088013
530.943970,400.160004,771.039978
536.799988,409.920013,774.943970
528.992004,402.112000,765.184021
527.039978,407.967987,772.992004
527.039978,409.920013,772.992004
534.848022,411.872009,778.848022
528.992004,419.679993,774.943970
540.703979,411.872009,774.943970
538.752014,411.872009,771.039978
521.184021,415.776001,771.039978
528.992004,406.015991,765.184021
528.992004,411.872009,759.328003
527.039978,402.112000,771.039978
536.799988,402.112000,771.039978
540.703979,413.824005,771.039978
534.848022,406.015991,769.088013
528.992004,409.920013,769.088013
528.992004,411.872009,765.184021
540.703979,415.776001,771.039978
536.799988,419.679993,774.943970
525.088013,421.631989,778.848022
527.039978,415.776001,772.992004
530.943970,411.872009,769.088013
536.799988,419.679993,774.943970
536.799988,409.920013,769.088013
527.039978,421.631989,769.088013
536.799988,415.776001,767.135986
534.848022,411.872009,774.943970
527.039978,409.920013,772.992004
530.943970,415.776001,769.088013
527.039978,417.727997,765.184021
536.799988,417.727997,767.135986
532.895996,417.727997,767.135986
532.895996,415.776001,763.231995
530.943970,413.824005,774.943970
536.799988,409.920013,767.135986
523.135986,423.584015,769.088013
530.943970,417.727997,774.943970
525.088013,425.536011,761.280029
532.895996,427.488007,774.943970
534.848022,427.488007,772.992004
530.943970,411.872009,771.039978
525.088013,421.631989,774.943970
527.039978,425.536011,761.280029
527.039978,431.391998,767.135986
532.895996,429.440002,772.992004
528.992004,423.584015,761.280029
532.895996,421.631989,765.184021
532.895996,419.679993,767.135986
530.943970,431.391998,771.039978
528.992004,425.536011,769.088013
532.895996,421.631989,772.992004
538.752014,421.631989,769.088013
534.848022,421.631989,763.231995
538.752014,427.488007,765.184021
540.703979,429.440002,763.231995
534.848022,419.679993,774.943970
530.943970,417.727997,774.943970
536.799988,417.727997,774.943970
536.799988,423.584015,772.992004
530.943970,421.631989,769.088013
534.848022,421.631989,771.039978
532.895996,423.584015,767.135986
523.135986,427.488007,765.184021
534.848022,425.536011,769.088013
528.992004,429.440002,769.088013
532.895996,423.584015,769.088013
523.135986,423.584015,761.280029
536.799988,421.631989,774.943970
534.848022,425.536011,769.088013
540.703979,421.631989,771.039978
540.703979,435.295990,769.088013
530.943970,421.631989,780.799988
530.943970,417.727997,774.943970
536.799988,423.584015,772.992004
536.799988,415.776001,774.943970
536.799988,425.536011,772.992004
527.039978,433.343994,772.992004
530.943970,427.488007,772.992004
536.799988,425.536011,772.992004
523.135986,433.343994,765.184021
528.992004,427.488007,771.039978
532.895996,425.536011,772.992004
528.992004,421.631989,774.943970
530.943970,423.584015,772.992004
519.231995,423.584015,765.184021
527.039978,425.536011,767.135986
527.039978,427.488007,772.992004
525.088013,429.440002,769.088013
532.895996,427.488007,761.280029
527.039978,423.584015,761.280029
523.135986,425.536011,765.184021
527.039978,427.488007,771.039978
523.135986,423.584015,767.135986
528.992004,423.584015,771.039978
527.039978,417.727997,767.135986
534.848022,423.584015,769.088013
530.943970,419.679993,771.039978
528.992004,417.727997,774.943970
523.135986,419.679993,761.280029
534.848022,429.440002,772.992004
527.039978,425.536011,771.039978
536.799988,421.631989,761.280029
534.848022,419.679993,759.328003
527.039978,417.727997,769.088013
523.135986,427.488007,772.992004
527.039978,421.631989,771.039978
521.184021,417.727997,769.088013
525.088013,419.679993,769.088013
530.943970,421.631989,780.799988
527.039978,415.776001,772.992004
532.895996,423.584015,769.088013
532.895996,411.872009,767.135986
540.703979,421.631989,767.135986
528.992004,417.727997,769.088013
534.848022,415.776001,767.135986
536.799988,409.920013,769.088013
534.848022,411.872009,774.943970
542.656006,417.727997,771.039978
538.752014,423.584015,772.992004
527.039978,421.631989,769.088013
530.943970,423.584015,782.752014
528.992004,417.727997,778.848022
534.848022,409.920013,772.992004
530.943970,415.776001,774.943970
530.943970,409.920013,772.992004
527.039978,404.063995,774.943970
534.848022,402.112000,774.943970
534.848022,413.824005,774.943970
525.088013,409.920013,772.992004
528.992004,407.967987,772.992004
532.895996,404.063995,772.992004
527.039978,407.967987,772.992004
525.088013,409.920013,767.135986
528.992004,409.920013,769.088013
523.135986,407.967987,771.039978
525.088013,406.015991,765.184021
528.992004,398.208008,774.943970
519.231995,406.015991,771.039978
532.895996,407.967987,772.992004
521.184021,398.208008,772.992004
517.280029,409.920013,757.375977
519.231995,407.967987,757.375977
523.135986,409.920013,772.992004
519.231995,404.063995,772.992004
519.231995,409.920013,772.992004
507.519989,398.208008,769.088013
521.184021,396.256012,759.328003
523.135986,402.112000,771.039978
517.280029,406.015991,771.039978
521.184021,402.112000,772.992004
517.280029,407.967987,767.135986
521.184021,411.872009,767.135986
511.424011,407.967987,761.280029
513.375977,415.776001,757.375977
517.280029,402.112000,763.231995
517.280029,404.063995,763.231995
515.328003,402.112000,765.184021
517.280029,394.303986,767.135986
509.471985,402.112000,769.088013
515.328003,400.160004,774.943970
513.375977,400.160004,774.943970
517.280029,402.112000,763.231995
511.424011,398.208008,769.088013
511.424011,407.967987,769.088013
515.328003,406.015991,774.943970
513.375977,402.112000,776.895996
511.424011,404.063995,767.135986
519.231995,406.015991,765.184021
511.424011,404.063995,767.135986
507.519989,398.208008,757.375977
507.519989,398.208008,774.943970
511.424011,404.063995,769.088013
511.424011,400.160004,769.088013
511.424011,404.063995,757.375977
511.424011,398.208008,761.280029
499.712006,400.160004,765.184021
501.664001,404.063995,765.184021
499.712006,400.160004,759.328003
507.519989,407.967987,765.184021
505.567993,400.160004,765.184021
