ACC_X,ACC_Y,ACC_Z,Time
-506.195068,397.430420,759.338379,0.000127
-509.857178,399.444580,752.105713,0.000879
-504.089355,395.874023,761.169434,0.001627
-507.568359,392.944336,758.605957,0.002369
-504.913330,393.127441,753.662109,0.003133
-505.462646,394.683838,760.620117,0.003873
-513.702393,394.042969,759.887695,0.004616
-508.300781,392.852783,762.817383,0.005356
-508.117676,385.162354,752.838135,0.006108
-503.631592,397.064209,759.613037,0.006847
-492.919922,390.197754,757.781982,0.007586
-510.040283,395.324707,757.873535,0.008325
-504.638672,394.866943,761.352539,0.009068
-502.441406,394.866943,754.211426,0.009805
-507.751465,394.134521,753.753662,0.010542
-511.138916,392.578125,754.669189,0.011279
-510.223389,397.155762,760.162354,0.012037
-506.561279,396.514893,755.859375,0.012780
-512.512207,393.951416,758.422852,0.013521
-510.589600,391.479492,756.225586,0.014274
-508.392334,390.563965,759.521484,0.015016
-504.364014,388.549805,756.866455,0.015757
-505.371094,390.380859,753.479004,0.016497
-510.589600,390.380859,755.310059,0.017240
-508.850098,390.563965,752.929688,0.017978
-511.779785,391.204834,759.521484,0.018708
-508.209229,393.493652,760.070801,0.019439
-505.187988,394.592285,757.507324,0.020169
-511.413574,389.923096,757.965088,0.020922
-516.723633,387.817383,751.098633,0.021663
-506.195068,387.725830,752.380371,0.022403
-507.476807,390.380859,748.626709,0.023143
-506.103516,391.113281,750.640869,0.023893
-516.815186,395.233154,752.380371,0.024634
-515.991211,391.113281,756.866455,0.025376
-509.857178,398.712158,760.345459,0.026116
-505.828857,392.120361,749.084473,0.026869
-516.357422,388.732910,760.528564,0.027609
-502.441406,395.507812,753.204346,0.028349
-505.828857,393.127441,757.141113,0.029090
-513.244629,397.979736,761.535645,0.029840
-510.406494,394.683838,763.458252,0.030581
-504.455566,396.057129,755.310059,0.031322
-509.582520,397.979736,752.563477,0.032062
-507.843018,398.620605,757.873535,0.032813
-507.019043,398.345947,755.584717,0.033553
-509.582520,394.317627,753.112793,0.034294
-510.040283,396.423340,762.268066,0.035033
-512.512207,395.233154,749.816895,0.035784
-507.751465,396.423340,755.950928,0.036524
-506.652832,397.338867,757.690430,0.037264
-512.512207,397.155762,755.310059,0.038004
-514.984131,406.951904,744.506836,0.038754
-511.779785,397.888184,753.662109,0.039494
-509.399414,402.557373,758.514404,0.040233
-514.801025,397.064209,764.465332,0.040973
-512.969971,400.085449,763.549805,0.041723
-513.977051,397.705078,755.401611,0.042463
-508.483887,401.184082,752.105713,0.043203
-512.878418,395.507812,760.345459,0.043943
-535.400391,394.134521,765.563965,0.044693
-513.153076,400.634766,757.873535,0.045433
-516.265869,397.613525,760.894775,0.046173
-515.625000,399.353027,756.958008,0.046913
-515.350342,401.458740,760.894775,0.047663
-515.441895,396.881104,758.605957,0.048404
-511.962891,402.832031,754.486084,0.049143
-514.984131,400.085449,760.162354,0.049882
-515.625000,396.240234,755.218506,0.050633
-514.984131,402.465820,750.732422,0.051373
-513.244629,393.310547,754.760742,0.052112
-506.561279,397.705078,754.302979,0.052852
-514.984131,395.965576,759.704590,0.053602
-538.055420,393.493652,753.295898,0.054342
-517.913818,392.028809,757.690430,0.055082
-519.744873,386.169434,754.852295,0.055821
-517.730713,390.289307,760.620117,0.056571
-512.512207,385.803223,748.535156,0.057310
-493.194580,387.908936,756.683350,0.058050
-514.617920,385.253906,754.211426,0.058810
-512.329102,386.993408,752.471924,0.059602
-513.702393,388.458252,753.021240,0.060355
-507.476807,387.268066,771.514893,0.061095
-513.153076,393.035889,759.796143,0.061855
-517.456055,388.549805,755.859375,0.062598
-522.399902,382.507324,752.838135,0.063338
-520.294189,389.648438,758.880615,0.064078
-515.350342,394.500732,749.084473,0.064818
-519.653320,389.190674,745.788574,0.065558
-520.385742,390.106201,749.725342,0.066298
-515.075684,389.556885,751.739502,0.067038
-520.843506,397.705078,748.901367,0.067781
-526.977539,386.444092,751.647949,0.068527
-520.568848,390.014648,755.584717,0.069272
-511.962891,394.226074,757.598877,0.070025
-513.061523,395.599365,758.239746,0.070866
-522.766113,394.134521,762.451172,0.071607
-517.272949,386.993408,766.113281,0.072347
-518.920898,396.331787,764.099121,0.073086
-515.991211,386.718750,762.176514,0.073827
-517.364502,394.683838,762.359619,0.074567
-512.786865,396.514893,763.000488,0.075307
-508.483887,389.648438,754.028320,0.076046
-507.019043,390.289307,761.444092,0.076787
-512.420654,402.282715,763.092041,0.077528
-513.977051,398.162842,763.092041,0.078267
-516.265869,393.859863,764.373779,0.079008
-513.610840,397.705078,762.359619,0.079748
-514.892578,393.402100,759.246826,0.080488
-506.927490,400.726318,759.613037,0.081228
-510.314941,400.360107,772.521973,0.081968
-510.589600,398.712158,761.444092,0.082708
-513.153076,392.669678,762.542725,0.083449
-513.061523,399.353027,758.056641,0.084189
-510.131836,404.205322,761.535645,0.084929
-510.589600,398.345947,763.275146,0.085680
-511.871338,404.205322,763.916016,0.086420
-508.850098,404.846191,760.986328,0.087160
-509.857178,411.437988,762.359619,0.087900
-509.033203,412.536621,767.211914,0.088649
-504.730225,406.677246,762.908936,0.089389
-511.047363,409.057617,754.394531,0.090129
-505.187988,402.008057,756.317139,0.090869
-507.568359,401.184082,766.021729,0.091609
-505.096436,398.986816,764.923096,0.092349
-508.941650,406.951904,763.916016,0.093089
-510.406494,409.057617,754.119873,0.093828
-505.371094,405.670166,758.331299,0.094568
-507.568359,404.479980,759.796143,0.095308
-508.026123,403.472900,756.225586,0.096048
-508.666992,394.409180,753.570557,0.096788
-507.202148,391.845703,762.817383,0.097527
-511.322021,398.162842,755.859375,0.098267
-513.793945,395.965576,753.387451,0.099007
-512.329102,400.543213,753.662109,0.099746
-507.659912,403.381348,758.148193,0.100496
-506.469727,396.148682,754.852295,0.101236
-499.511719,397.796631,750.366211,0.101976
-497.863770,392.486572,755.859375,0.102717
-504.547119,399.353027,754.577637,0.103457
-505.920410,396.240234,756.774902,0.104208
-499.786377,395.233154,758.514404,0.104948
-501.251221,393.127441,760.986328,0.105687
-503.997803,400.360107,747.070312,0.106427
-504.547119,376.739502,751.647949,0.107177
-502.716064,391.204834,749.633789,0.107918
-506.195068,395.050049,753.662109,0.108658
-507.568359,394.134521,757.049561,0.109398
-504.730225,394.683838,754.577637,0.110151
-502.532959,395.965576,754.302979,0.110891
-500.701904,398.437500,754.486084,0.111631
-504.730225,396.514893,757.049561,0.112370
-501.708984,394.042969,754.943848,0.113121
-507.568359,397.979736,755.126953,0.113861
-509.857178,398.529053,759.155273,0.114601
-500.701904,409.698486,758.880615,0.115341
-509.216309,407.318115,759.704590,0.116091
