ACC_X,ACC_Y,ACC_Z
638.304016,368.928009,673.440002
636.351990,361.119995,677.343994
630.495972,365.023987,673.440002
636.351990,359.167999,671.487976
634.400024,359.167999,665.632019
638.304016,359.167999,669.536011
632.447998,365.023987,667.583984
638.304016,365.023987,665.632019
630.495972,366.976013,663.679993
632.447998,372.832001,669.536011
636.351990,366.976013,667.583984
636.351990,363.071991,675.392029
640.255981,363.071991,665.632019
636.351990,370.880005,663.679993
646.112000,365.023987,671.487976
646.112000,372.832001,665.632019
634.400024,365.023987,669.536011
644.159973,376.735992,669.536011
646.112000,374.783997,669.536011
636.351990,376.735992,669.536011
644.159973,372.832001,669.536011
644.159973,370.880005,675.392029
648.064026,366.976013,679.296021
650.015991,370.880005,677.343994
644.159973,370.880005,677.343994
650.015991,372.832001,667.583984
653.919983,370.880005,679.296021
650.015991,366.976013,667.583984
653.919983,368.928009,677.343994
651.968018,366.976013,679.296021
651.968018,370.880005,679.296021
653.919983,359.167999,681.247986
661.728027,366.976013,673.440002
653.919983,374.783997,669.536011
655.872009,366.976013,675.392029
657.823975,376.735992,679.296021
651.968018,376.735992,679.296021
655.872009,365.023987,681.247986
657.823975,376.735992,679.296021
648.064026,376.735992,681.247986
646.112000,376.735992,685.151978
653.919983,372.832001,677.343994
655.872009,374.783997,671.487976
655.872009,378.687988,675.392029
657.823975,380.640015,681.247986
655.872009,372.832001,669.536011
648.064026,382.592010,673.440002
650.015991,372.832001,677.343994
653.919983,376.735992,677.343994
650.015991,372.832001,671.487976
653.919983,372.832001,677.343994
657.823975,366.976013,677.343994
651.968018,370.880005,667.583984
646.112000,380.640015,675.392029
651.968018,368.928009,679.296021
653.919983,378.687988,671.487976
644.159973,372.832001,671.487976
648.064026,372.832001,679.296021
657.823975,376.735992,665.632019
646.112000,376.735992,671.487976
650.015991,370.880005,671.487976
646.112000,382.592010,677.343994
655.872009,372.832001,667.583984
648.064026,374.783997,671.487976
644.159973,374.783997,671.487976
650.015991,368.928009,665.632019
646.112000,376.735992,659.776001
657.823975,380.640015,669.536011
651.968018,372.832001,671.487976
650.015991,370.880005,659.776001
650.015991,380.640015,667.583984
648.064026,380.640015,663.679993
644.159973,374.783997,667.583984
653.919983,380.640015,673.440002
650.015991,368.928009,667.583984
655.872009,370.880005,671.487976
648.064026,380.640015,673.440002
650.015991,372.832001,659.776001
642.208008,370.880005,667.583984
651.968018,374.783997,667.583984
659.776001,374.783997,671.487976
657.823975,378.687988,671.487976
648.064026,368.928009,671.487976
653.919983,372.832001,671.487976
655.872009,376.735992,675.392029
655.872009,378.687988,681.247986
663.679993,365.023987,673.440002
655.872009,370.880005,673.440002
653.919983,376.735992,675.392029
650.015991,380.640015,671.487976
648.064026,378.687988,679.296021
655.872009,382.592010,681.247986
653.919983,376.735992,683.200012
661.728027,370.880005,675.392029
657.823975,378.687988,687.104004
655.872009,378.687988,681.247986
657.823975,376.735992,689.056030
669.536011,374.783997,679.296021
669.536011,380.640015,681.247986
665.632019,368.928009,687.104004
657.823975,370.880005,691.007996
657.823975,366.976013,691.007996
663.679993,366.976013,687.104004
659.776001,366.976013,691.007996
657.823975,376.735992,679.296021
665.632019,368.928009,681.247986
667.583984,374.783997,679.296021
663.679993,382.592010,679.296021
659.776001,374.783997,689.056030
663.679993,380.640015,685.151978
659.776001,370.880005,685.151978
661.728027,378.687988,692.960022
657.823975,363.071991,687.104004
657.823975,376.735992,685.151978
657.823975,372.832001,677.343994
655.872009,368.928009,677.343994
653.919983,370.880005,679.296021
651.968018,374.783997,696.864014
655.872009,378.687988,687.104004
659.776001,370.880005,685.151978
659.776001,376.735992,683.200012
661.728027,374.783997,683.200012
663.679993,372.832001,675.392029
659.776001,372.832001,681.247986
665.632019,368.928009,681.247986
659.776001,370.880005,675.392029
657.823975,366.976013,677.343994
663.679993,361.119995,679.296021
663.679993,363.071991,689.056030
651.968018,366.976013,683.200012
659.776001,376.735992,689.056030
665.632019,380.640015,683.200012
665.632019,363.071991,687.104004
667.583984,370.880005,681.247986
663.679993,368.928009,692.960022
651.968018,361.119995,694.911987
651.968018,359.167999,679.296021
659.776001,365.023987,679.296021
667.583984,363.071991,687.104004
665.632019,365.023987,689.056030
669.536011,363.071991,687.104004
663.679993,361.119995,687.104004
665.632019,355.264008,683.200012
667.583984,361.119995,683.200012
661.728027,359.167999,692.960022
661.728027,361.119995,683.200012
655.872009,355.264008,691.007996
667.583984,355.264008,685.151978
665.632019,361.119995,691.007996
667.583984,366.976013,687.104004
659.776001,363.071991,687.104004
659.776001,361.119995,687.104004
665.632019,355.264008,691.007996
663.679993,357.216003,683.200012
663.679993,361.119995,685.151978
667.583984,359.167999,677.343994
665.632019,363.071991,681.247986
663.679993,359.167999,679.296021
665.632019,368.928009,683.200012
669.536011,368.928009,685.151978
665.632019,363.071991,687.104004
669.536011,361.119995,673.440002
661.728027,363.071991,683.200012
657.823975,370.880005,679.296021
659.776001,361.119995,675.392029
648.064026,365.023987,689.056030
655.872009,359.167999,687.104004
663.679993,357.216003,683.200012
671.487976,347.455994,671.487976
673.440002,353.312012,681.247986
673.440002,345.503998,675.392029
671.487976,349.407990,675.392029
665.632019,357.216003,671.487976
663.679993,357.216003,679.296021
655.872009,355.264008,681.247986
659.776001,357.216003,675.392029
650.015991,355.264008,683.200012
655.872009,355.264008,681.247986
655.872009,355.264008,685.151978
661.728027,347.455994,681.247986
661.728027,359.167999,683.200012
667.583984,355.264008,679.296021
669.536011,355.264008,679.296021
665.632019,353.312012,671.487976
665.632019,359.167999,665.632019
669.536011,347.455994,667.583984
659.776001,357.216003,663.679993
671.487976,359.167999,665.632019
673.440002,359.167999,663.679993
673.440002,345.503998,665.632019
659.776001,339.648010,655.872009
657.823975,343.552002,667.583984
659.776001,339.648010,661.728027
651.968018,345.503998,648.064026
659.776001,333.791992,651.968018
663.679993,324.032013,653.919983
661.728027,335.743988,661.728027
655.872009,331.839996,659.776001
655.872009,337.696014,669.536011
657.823975,339.648010,673.440002
651.968018,355.264008,681.247986
657.823975,343.552002,685.151978
661.728027,353.312012,689.056030
667.583984,357.216003,685.151978
661.728027,359.167999,692.960022
663.679993,357.216003,683.200012
663.679993,363.071991,689.056030
669.536011,368.928009,683.200012
665.632019,361.119995,675.392029
663.679993,353.312012,669.536011
657.823975,361.119995,673.440002
657.823975,359.167999,665.632019
659.776001,347.455994,665.632019
651.968018,345.503998,648.064026
651.968018,335.743988,655.872009
659.776001,349.407990,661.728027
659.776001,329.888000,655.872009
663.679993,337.696014,661.728027
667.583984,337.696014,663.679993
661.728027,327.936005,673.440002
657.823975,331.839996,673.440002
673.440002,331.839996,683.200012
671.487976,341.600006,687.104004
671.487976,355.264008,700.768005
671.487976,355.264008,696.864014
669.536011,353.312012,708.575989
665.632019,359.167999,700.768005
667.583984,365.023987,694.911987
667.583984,365.023987,700.768005
667.583984,365.023987,698.815979
673.440002,357.216003,683.200012
669.536011,366.976013,681.247986
657.823975,359.167999,665.632019
661.728027,361.119995,671.487976
648.064026,353.312012,657.823975
657.823975,339.648010,651.968018
653.919983,345.503998,653.919983
659.776001,337.696014,657.823975
655.872009,329.888000,659.776001
648.064026,335.743988,657.823975
651.968018,333.791992,657.823975
646.112000,324.032013,661.728027
653.919983,316.223999,659.776001
653.919983,312.320007,673.440002
659.776001,331.839996,681.247986
655.872009,327.936005,681.247986
659.776001,331.839996,692.960022
653.919983,341.600006,689.056030
659.776001,335.743988,683.200012
655.872009,347.455994,685.151978
663.679993,351.359985,679.296021
665.632019,349.407990,675.392029
661.728027,351.359985,679.296021
651.968018,349.407990,663.679993
651.968018,353.312012,663.679993
653.919983,341.600006,665.632019
648.064026,343.552002,667.583984
653.919983,331.839996,671.487976
651.968018,331.839996,669.536011
644.159973,329.888000,659.776001
648.064026,324.032013,673.440002
644.159973,310.368011,671.487976
651.968018,304.511993,679.296021
653.919983,306.463989,679.296021
644.159973,318.175995,679.296021
661.728027,314.272003,681.247986
648.064026,306.463989,689.056030
651.968018,316.223999,681.247986
659.776001,314.272003,687.104004
655.872009,325.984009,687.104004
648.064026,324.032013,683.200012
646.112000,331.839996,679.296021
648.064026,333.791992,679.296021
651.968018,327.936005,679.296021
642.208008,335.743988,661.728027
644.159973,335.743988,669.536011
636.351990,329.888000,659.776001
640.255981,324.032013,663.679993
640.255981,322.079987,669.536011
636.351990,325.984009,673.440002
630.495972,312.320007,657.823975
644.159973,302.559998,663.679993
642.208008,304.511993,661.728027
644.159973,306.463989,673.440002
638.304016,300.608002,661.728027
634.400024,290.847992,673.440002
642.208008,284.992004,675.392029
646.112000,286.944000,675.392029
636.351990,284.992004,677.343994
628.544006,290.847992,671.487976
634.400024,296.704010,667.583984
628.544006,296.704010,669.536011
638.304016,312.320007,677.343994
636.351990,316.223999,673.440002
632.447998,308.415985,675.392029
646.112000,318.175995,671.487976
632.447998,316.223999,663.679993
634.400024,308.415985,667.583984
628.544006,316.223999,677.343994
628.544006,320.127991,665.632019
622.687988,304.511993,669.536011
624.640015,306.463989,667.583984
632.447998,302.559998,663.679993
634.400024,296.704010,671.487976
628.544006,294.752014,667.583984
628.544006,292.799988,675.392029
644.159973,283.040009,669.536011
634.400024,290.847992,669.536011
628.544006,292.799988,673.440002
632.447998,288.895996,677.343994
628.544006,296.704010,677.343994
628.544006,296.704010,679.296021
630.495972,306.463989,677.343994
620.736023,302.559998,679.296021
626.591980,308.415985,677.343994
628.544006,316.223999,677.343994
624.640015,329.888000,677.343994
624.640015,325.984009,675.392029
626.591980,329.888000,673.440002
622.687988,322.079987,685.151978
622.687988,331.839996,673.440002
626.591980,322.079987,675.392029
630.495972,325.984009,681.247986
632.447998,325.984009,679.296021
626.591980,324.032013,681.247986
632.447998,316.223999,681.247986
628.544006,329.888000,681.247986
628.544006,325.984009,679.296021
624.640015,316.223999,685.151978
628.544006,316.223999,679.296021
642.208008,329.888000,683.200012
634.400024,322.079987,696.864014
642.208008,314.272003,698.815979
634.400024,324.032013,691.007996
632.447998,331.839996,689.056030
638.304016,345.503998,694.911987
632.447998,341.600006,692.960022
634.400024,341.600006,683.200012
632.447998,349.407990,683.200012
634.400024,349.407990,685.151978
634.400024,351.359985,689.056030
636.351990,359.167999,692.960022
636.351990,351.359985,689.056030
632.447998,351.359985,683.200012
634.400024,357.216003,683.200012
620.736023,361.119995,687.104004
626.591980,353.312012,675.392029
636.351990,349.407990,679.296021
624.640015,353.312012,683.200012
626.591980,345.503998,679.296021
632.447998,349.407990,679.296021
628.544006,341.600006,681.247986
626.591980,345.503998,679.296021
622.687988,353.312012,681.247986
622.687988,353.312012,675.392029
620.736023,353.312012,675.392029
620.736023,363.071991,675.392029
612.927979,355.264008,681.247986
620.736023,357.216003,685.151978
626.591980,368.928009,679.296021
624.640015,363.071991,671.487976
626.591980,374.783997,673.440002
630.495972,372.832001,667.583984
628.544006,376.735992,669.536011
632.447998,378.687988,675.392029
628.544006,380.640015,667.583984
630.495972,374.783997,665.632019
630.495972,376.735992,665.632019
634.400024,366.976013,667.583984
638.304016,376.735992,673.440002
634.400024,372.832001,671.487976
634.400024,368.928009,673.440002
638.304016,374.783997,663.679993
628.544006,372.832001,675.392029
646.112000,361.119995,673.440002
650.015991,372.832001,665.632019
634.400024,372.832001,677.343994
634.400024,374.783997,673.440002
638.304016,366.976013,667.583984
632.447998,370.880005,667.583984
636.351990,370.880005,675.392029
648.064026,376.735992,671.487976
653.919983,372.832001,665.632019
646.112000,370.880005,677.343994
638.304016,378.687988,671.487976
648.064026,380.640015,663.679993
646.112000,386.496002,677.343994
648.064026,376.735992,679.296021
650.015991,374.783997,677.343994
648.064026,378.687988,683.200012
653.919983,378.687988,681.247986
644.159973,376.735992,681.247986
653.919983,370.880005,671.487976
657.823975,361.119995,673.440002
653.919983,363.071991,669.536011
655.872009,363.071991,671.487976
651.968018,357.216003,673.440002
650.015991,359.167999,675.392029
651.968018,365.023987,677.343994
657.823975,361.119995,673.440002
651.968018,363.071991,677.343994
651.968018,363.071991,679.296021
651.968018,372.832001,677.343994
650.015991,363.071991,667.583984
657.823975,359.167999,673.440002
657.823975,353.312012,673.440002
653.919983,361.119995,677.343994
657.823975,366.976013,673.440002
657.823975,365.023987,671.487976
665.632019,355.264008,685.151978
663.679993,363.071991,683.200012
655.872009,359.167999,685.151978
669.536011,355.264008,679.296021
655.872009,351.359985,683.200012
661.728027,341.600006,679.296021
661.728027,347.455994,685.151978
657.823975,343.552002,685.151978
663.679993,349.407990,683.200012
659.776001,341.600006,683.200012
651.968018,339.648010,691.007996
659.776001,341.600006,687.104004
663.679993,341.600006,683.200012
669.536011,343.552002,685.151978
667.583984,329.888000,683.200012
657.823975,337.696014,681.247986
659.776001,337.696014,681.247986
665.632019,331.839996,679.296021
665.632019,335.743988,685.151978
661.728027,329.888000,689.056030
663.679993,325.984009,691.007996
661.728027,331.839996,700.768005
661.728027,325.984009,691.007996
663.679993,333.791992,692.960022
671.487976,325.984009,696.864014
659.776001,325.984009,702.719971
665.632019,316.223999,692.960022
655.872009,324.032013,687.104004
665.632019,314.272003,696.864014
665.632019,324.032013,696.864014
648.064026,320.127991,706.624023
663.679993,314.272003,704.671997
663.679993,316.223999,704.671997
663.679993,324.032013,708.575989
663.679993,314.272003,700.768005
667.583984,318.175995,704.671997
663.679993,306.463989,700.768005
665.632019,310.368011,706.624023
659.776001,312.320007,704.671997
661.728027,308.415985,704.671997
669.536011,306.463989,706.624023
665.632019,310.368011,712.479980
673.440002,310.368011,708.575989
665.632019,306.463989,706.624023
663.679993,308.415985,706.624023
661.728027,304.511993,708.575989
659.776001,298.656006,702.719971
667.583984,312.320007,708.575989
663.679993,308.415985,704.671997
681.247986,308.415985,708.575989
681.247986,314.272003,706.624023
671.487976,312.320007,712.479980
667.583984,314.272003,706.624023
667.583984,314.272003,704.671997
663.679993,314.272003,702.719971
671.487976,318.175995,706.624023
671.487976,320.127991,702.719971
671.487976,320.127991,708.575989
671.487976,327.936005,696.864014
663.679993,329.888000,691.007996
675.392029,327.936005,681.247986
663.679993,331.839996,683.200012
669.536011,331.839996,681.247986
667.583984,325.984009,689.056030
681.247986,335.743988,691.007996
681.247986,331.839996,689.056030
679.296021,335.743988,691.007996
675.392029,343.552002,696.864014
681.247986,341.600006,689.056030
675.392029,347.455994,685.151978
683.200012,345.503998,683.200012
671.487976,339.648010,691.007996
677.343994,347.455994,696.864014
675.392029,345.503998,687.104004
681.247986,351.359985,687.104004
683.200012,359.167999,685.151978
679.296021,349.407990,687.104004
679.296021,353.312012,687.104004
681.247986,347.455994,687.104004
683.200012,347.455994,685.151978
685.151978,339.648010,679.296021
694.911987,349.407990,679.296021
687.104004,347.455994,681.247986
685.151978,357.216003,673.440002
692.960022,347.455994,681.247986
694.911987,349.407990,679.296021
692.960022,361.119995,671.487976
694.911987,347.455994,669.536011
696.864014,355.264008,673.440002
696.864014,351.359985,689.056030
692.960022,345.503998,687.104004
687.104004,359.167999,681.247986
694.911987,366.976013,675.392029
692.960022,368.928009,675.392029
687.104004,363.071991,673.440002
691.007996,374.783997,681.247986
694.911987,376.735992,667.583984
694.911987,380.640015,667.583984
694.911987,376.735992,669.536011
689.056030,378.687988,679.296021
691.007996,376.735992,679.296021
696.864014,380.640015,675.392029
696.864014,380.640015,681.247986
694.911987,388.447998,681.247986
704.671997,376.735992,673.440002
700.768005,374.783997,683.200012
692.960022,380.640015,683.200012
698.815979,380.640015,683.200012
702.719971,378.687988,687.104004
704.671997,384.544006,691.007996
696.864014,382.592010,689.056030
696.864014,394.303986,687.104004
704.671997,390.399994,694.911987
704.671997,394.303986,683.200012
698.815979,392.351990,692.960022
691.007996,394.303986,694.911987
696.864014,396.256012,691.007996
702.719971,390.399994,696.864014
704.671997,396.256012,692.960022
700.768005,386.496002,696.864014
696.864014,396.256012,696.864014
704.671997,396.256012,698.815979
706.624023,404.063995,696.864014
704.671997,394.303986,691.007996
708.575989,390.399994,689.056030
700.768005,390.399994,691.007996
706.624023,394.303986,691.007996
696.864014,396.256012,689.056030
696.864014,390.399994,691.007996
694.911987,392.351990,691.007996
704.671997,380.640015,683.200012
700.768005,378.687988,696.864014
694.911987,390.399994,696.864014
691.007996,394.303986,687.104004
687.104004,388.447998,685.151978
685.151978,390.399994,687.104004
691.007996,394.303986,687.104004
685.151978,392.351990,696.864014
689.056030,386.496002,696.864014
689.056030,394.303986,698.815979
691.007996,390.399994,696.864014
687.104004,392.351990,696.864014
685.151978,390.399994,694.911987
689.056030,382.592010,698.815979
689.056030,388.447998,698.815979
691.007996,388.447998,694.911987
689.056030,388.447998,694.911987
685.151978,380.640015,698.815979
683.200012,388.447998,691.007996
689.056030,380.640015,694.911987
683.200012,382.592010,694.911987
683.200012,370.880005,691.007996
683.200012,378.687988,692.960022
681.247986,374.783997,689.056030
679.296021,374.783997,700.768005
681.247986,366.976013,685.151978
683.200012,376.735992,691.007996
683.200012,374.783997,704.671997
692.960022,376.735992,704.671997
692.960022,365.023987,702.719971
681.247986,372.832001,708.575989
687.104004,372.832001,700.768005
679.296021,363.071991,696.864014
685.151978,376.735992,704.671997
681.247986,368.928009,704.671997
685.151978,359.167999,712.479980
677.343994,366.976013,710.528015
677.343994,366.976013,720.288025
681.247986,368.928009,708.575989
665.632019,366.976013,712.479980
669.536011,365.023987,702.719971
669.536011,361.119995,708.575989
673.440002,359.167999,712.479980
667.583984,357.216003,708.575989
663.679993,359.167999,698.815979
657.823975,353.312012,704.671997
663.679993,355.264008,702.719971
653.919983,343.552002,702.719971
653.919983,349.407990,694.911987
651.968018,351.359985,700.768005
651.968018,351.359985,702.719971
650.015991,343.552002,694.911987
644.159973,355.264008,692.960022
640.255981,353.312012,698.815979
640.255981,347.455994,696.864014
640.255981,343.552002,692.960022
634.400024,353.312012,691.007996
640.255981,345.503998,691.007996
632.447998,345.503998,694.911987
646.112000,343.552002,685.151978
634.400024,349.407990,687.104004
628.544006,343.552002,681.247986
632.447998,347.455994,685.151978
628.544006,345.503998,679.296021
634.400024,343.552002,687.104004
638.304016,343.552002,681.247986
634.400024,337.696014,687.104004
642.208008,343.552002,687.104004
632.447998,335.743988,675.392029
636.351990,333.791992,667.583984
630.495972,337.696014,663.679993
620.736023,341.600006,679.296021
626.591980,333.791992,677.343994
618.783997,331.839996,657.823975
616.831970,333.791992,648.064026
620.736023,327.936005,651.968018
610.976013,337.696014,646.112000
614.880005,335.743988,651.968018
609.023987,331.839996,644.159973
601.216003,327.936005,634.400024
603.168030,331.839996,630.495972
595.359985,339.648010,628.544006
587.552002,345.503998,630.495972
589.504028,335.743988,626.591980
585.599976,335.743988,628.544006
589.504028,345.503998,628.544006
589.504028,343.552002,628.544006
589.504028,345.503998,634.400024
583.648010,347.455994,636.351990
573.888000,337.696014,630.495972
573.888000,337.696014,632.447998
575.840027,333.791992,628.544006
579.744019,337.696014,630.495972
577.791992,331.839996,624.640015
577.791992,335.743988,620.736023
569.984009,333.791992,638.304016
571.935974,333.791992,636.351990
579.744019,327.936005,634.400024
577.791992,324.032013,632.447998
581.695984,337.696014,634.400024
579.744019,333.791992,632.447998
579.744019,331.839996,646.112000
573.888000,337.696014,632.447998
575.840027,327.936005,640.255981
573.888000,335.743988,636.351990
566.080017,329.888000,632.447998
566.080017,329.888000,638.304016
566.080017,329.888000,632.447998
566.080017,327.936005,640.255981
568.031982,327.936005,638.304016
571.935974,325.984009,634.400024
558.271973,324.032013,632.447998
564.127991,329.888000,632.447998
562.176025,331.839996,634.400024
562.176025,329.888000,634.400024
571.935974,316.223999,634.400024
568.031982,316.223999,618.783997
571.935974,310.368011,630.495972
558.271973,314.272003,628.544006
566.080017,316.223999,634.400024
568.031982,325.984009,626.591980
568.031982,324.032013,624.640015
564.127991,316.223999,634.400024
562.176025,316.223999,626.591980
560.223999,316.223999,630.495972
564.127991,318.175995,630.495972
562.176025,312.320007,628.544006
566.080017,314.272003,620.736023
566.080017,312.320007,618.783997
560.223999,312.320007,610.976013
569.984009,312.320007,622.687988
560.223999,312.320007,634.400024
562.176025,322.079987,624.640015
564.127991,314.272003,620.736023
568.031982,312.320007,626.591980
571.935974,310.368011,622.687988
568.031982,306.463989,628.544006
564.127991,314.272003,628.544006
575.840027,306.463989,624.640015
581.695984,300.608002,624.640015
575.840027,300.608002,630.495972
573.888000,304.511993,632.447998
585.599976,310.368011,634.400024
583.648010,314.272003,642.208008
587.552002,298.656006,642.208008
585.599976,302.559998,648.064026
591.455994,304.511993,648.064026
599.263977,296.704010,651.968018
603.168030,306.463989,644.159973
601.216003,298.656006,657.823975
597.312012,304.511993,648.064026
603.168030,310.368011,661.728027
609.023987,312.320007,661.728027
610.976013,310.368011,671.487976
612.927979,304.511993,667.583984
618.783997,310.368011,665.632019
610.976013,304.511993,669.536011
612.927979,292.799988,683.200012
616.831970,296.704010,675.392029
618.783997,296.704010,675.392029
610.976013,304.511993,671.487976
614.880005,310.368011,667.583984
614.880005,304.511993,681.247986
616.831970,302.559998,679.296021
620.736023,306.463989,677.343994
628.544006,316.223999,677.343994
626.591980,306.463989,679.296021
628.544006,302.559998,679.296021
628.544006,298.656006,675.392029
630.495972,294.752014,681.247986
642.208008,298.656006,689.056030
632.447998,304.511993,687.104004
636.351990,292.799988,691.007996
632.447998,288.895996,689.056030
634.400024,296.704010,689.056030
636.351990,304.511993,694.911987
650.015991,298.656006,696.864014
636.351990,302.559998,694.911987
632.447998,292.799988,689.056030
644.159973,292.799988,691.007996
644.159973,302.559998,694.911987
640.255981,296.704010,704.671997
648.064026,298.656006,698.815979
642.208008,306.463989,694.911987
638.304016,294.752014,691.007996
634.400024,296.704010,696.864014
642.208008,296.704010,694.911987
648.064026,298.656006,698.815979
650.015991,300.608002,691.007996
651.968018,300.608002,698.815979
642.208008,306.463989,706.624023
646.112000,306.463989,706.624023
648.064026,306.463989,702.719971
644.159973,306.463989,702.719971
651.968018,310.368011,708.575989
651.968018,306.463989,696.864014
650.015991,310.368011,704.671997
650.015991,306.463989,708.575989
648.064026,314.272003,710.528015
644.159973,318.175995,708.575989
644.159973,306.463989,702.719971
646.112000,314.272003,710.528015
653.919983,314.272003,710.528015
651.968018,310.368011,710.528015
650.015991,312.320007,696.864014
650.015991,306.463989,704.671997
653.919983,308.415985,710.528015
657.823975,312.320007,706.624023
653.919983,306.463989,718.335999
655.872009,306.463989,720.288025
657.823975,302.559998,708.575989
650.015991,302.559998,712.479980
661.728027,308.415985,724.192017
651.968018,302.559998,718.335999
651.968018,310.368011,720.288025
665.632019,306.463989,712.479980
655.872009,304.511993,710.528015
659.776001,316.223999,710.528015
655.872009,302.559998,712.479980
657.823975,308.415985,708.575989
653.919983,306.463989,702.719971
651.968018,308.415985,702.719971
651.968018,312.320007,702.719971
653.919983,308.415985,698.815979
655.872009,306.463989,696.864014
651.968018,310.368011,708.575989
650.015991,312.320007,696.864014
648.064026,318.175995,694.911987
659.776001,312.320007,700.768005
665.632019,310.368011,712.479980
661.728027,300.608002,708.575989
653.919983,308.415985,710.528015
651.968018,306.463989,710.528015
653.919983,294.752014,716.383972
657.823975,306.463989,722.239990
655.872009,296.704010,716.383972
661.728027,302.559998,724.192017
644.159973,294.752014,718.335999
650.015991,290.847992,712.479980
648.064026,306.463989,716.383972
653.919983,292.799988,712.479980
659.776001,298.656006,698.815979
650.015991,288.895996,712.479980
648.064026,304.511993,710.528015
648.064026,310.368011,708.575989
651.968018,302.559998,702.719971
655.872009,296.704010,704.671997
651.968018,298.656006,700.768005
644.159973,300.608002,702.719971
644.159973,300.608002,698.815979
642.208008,300.608002,702.719971
648.064026,298.656006,704.671997
648.064026,286.944000,704.671997
642.208008,302.559998,706.624023
640.255981,296.704010,702.719971
636.351990,298.656006,702.719971
648.064026,292.799988,694.911987
638.304016,294.752014,702.719971
640.255981,288.895996,694.911987
636.351990,281.088013,702.719971
636.351990,284.992004,694.911987
636.351990,290.847992,704.671997
632.447998,283.040009,694.911987
634.400024,286.944000,704.671997
638.304016,284.992004,700.768005
634.400024,284.992004,696.864014
634.400024,288.895996,694.911987
