ACC_X,ACC_Y,ACC_Z,Time
-237.030029,490.264893,702.484131,0.000126
-240.783691,504.089355,697.357178,0.000895
-245.452881,506.011963,697.906494,0.001654
-249.572754,495.117188,696.624756,0.002395
-253.326416,502.075195,686.096191,0.003135
-254.974365,497.314453,685.546875,0.003875
-254.791260,497.589111,687.835693,0.004627
-250.305176,497.131348,681.427002,0.005367
-247.833252,494.934082,692.504883,0.006130
-253.143311,506.469727,704.040527,0.006870
-249.938965,506.195068,704.498291,0.007626
-246.002197,518.920898,700.561523,0.008365
-233.276367,509.399414,709.533691,0.009103
-227.508545,516.906738,724.914551,0.009859
-227.416992,541.442871,735.168457,0.010603
-232.177734,540.710449,745.513916,0.011344
-218.627930,551.055908,757.598877,0.012085
-231.445312,546.844482,788.360596,0.012823
-233.734131,549.865723,795.501709,0.013558
-241.516113,564.239502,812.988281,0.014289
-248.931885,561.309814,816.284180,0.015020
-246.826172,580.627441,827.819824,0.015751
-252.227783,582.366943,845.581055,0.016492
-264.038086,590.148926,843.841553,0.017232
-252.410889,589.874268,849.151611,0.017972
-260.192871,592.254639,861.511230,0.018712
-249.664307,584.014893,859.497070,0.019452
-238.769531,581.726074,864.349365,0.020191
-237.487793,580.444336,852.264404,0.020931
-221.923828,585.479736,844.482422,0.021680
-213.958740,573.303223,832.122803,0.022420
-210.113525,562.774658,820.678711,0.023160
-210.296631,545.562744,795.593262,0.023901
-206.085205,534.851074,781.677246,0.024650
-206.909180,529.083252,752.655029,0.025381
-193.908691,494.476318,750.366211,0.026112
-200.317383,495.483398,762.451172,0.026843
-191.986084,486.877441,755.310059,0.027577
-187.683105,483.764648,758.056641,0.028324
-181.457520,486.968994,751.190186,0.029064
-188.873291,488.983154,750.915527,0.029804
-179.901123,473.785400,749.725342,0.030544
-169.189453,449.157715,747.619629,0.031284
-176.605225,431.304932,754.486084,0.032024
-157.287598,432.128906,755.676270,0.032763
-152.160645,427.368164,753.753662,0.033503
-150.054932,400.360107,772.064209,0.034261
-150.878906,403.472900,750.457764,0.035006
-157.745361,379.943848,738.281250,0.035747
-161.773682,366.119385,721.160889,0.036487
-141.906738,362.548828,715.759277,0.037226
-147.399902,339.202881,710.266113,0.037966
-141.998291,344.970703,703.033447,0.038705
-125.244141,338.104248,704.589844,0.039444
-95.214844,332.061768,702.117920,0.040184
-107.482910,326.751709,709.167480,0.040923
-113.250732,311.187744,704.864502,0.041663
-94.207764,293.792725,683.441162,0.042407
-53.192139,304.504395,670.989990,0.043139
-12.817383,298.004150,694.702148,0.043869
