ACC_X,ACC_Y,ACC_Z
605.119995,605.119995,745.664001
589.504028,603.168030,743.711975
591.455994,607.072021,751.520020
589.504028,609.023987,743.711975
601.216003,610.976013,741.760010
605.119995,607.072021,733.952026
599.263977,612.927979,739.807983
595.359985,609.023987,741.760010
601.216003,607.072021,739.807983
597.312012,609.023987,739.807983
603.168030,612.927979,741.760010
603.168030,609.023987,730.047974
601.216003,610.976013,739.807983
599.263977,605.119995,741.760010
595.359985,612.927979,747.616028
593.408020,609.023987,737.856018
601.216003,614.880005,726.143982
595.359985,609.023987,728.096008
597.312012,607.072021,728.096008
607.072021,607.072021,728.096008
591.455994,609.023987,718.335999
593.408020,605.119995,720.288025
595.359985,603.168030,728.096008
595.359985,610.976013,724.192017
593.408020,603.168030,716.383972
595.359985,601.216003,726.143982
597.312012,605.119995,728.096008
593.408020,610.976013,720.288025
599.263977,597.312012,724.192017
597.312012,603.168030,722.239990
599.263977,614.880005,730.047974
603.168030,607.072021,728.096008
607.072021,607.072021,722.239990
603.168030,603.168030,728.096008
603.168030,601.216003,722.239990
601.216003,597.312012,735.903992
612.927979,595.359985,735.903992
609.023987,595.359985,730.047974
599.263977,595.359985,726.143982
605.119995,601.216003,732.000000
614.880005,599.263977,726.143982
605.119995,597.312012,728.096008
610.976013,591.455994,730.047974
610.976013,597.312012,726.143982
607.072021,595.359985,730.047974
601.216003,593.408020,733.952026
605.119995,589.504028,724.192017
610.976013,595.359985,732.000000
601.216003,597.312012,728.096008
605.119995,583.648010,726.143982
599.263977,591.455994,732.000000
597.312012,585.599976,724.192017
597.312012,585.599976,724.192017
597.312012,573.888000,718.335999
603.168030,569.984009,728.096008
599.263977,585.599976,730.047974
599.263977,579.744019,722.239990
587.552002,583.648010,724.192017
585.599976,575.840027,732.000000
577.791992,579.744019,714.432007
581.695984,573.888000,720.288025
587.552002,566.080017,718.335999
581.695984,568.031982,714.432007
569.984009,569.984009,708.575989
569.984009,569.984009,708.575989
569.984009,573.888000,710.528015
568.031982,566.080017,698.815979
571.935974,556.320007,704.671997
568.031982,550.463989,696.864014
562.176025,556.320007,702.719971
560.223999,556.320007,698.815979
556.320007,552.416016,694.911987
552.416016,558.271973,696.864014
546.559998,546.559998,696.864014
546.559998,548.512024,698.815979
548.512024,546.559998,698.815979
542.656006,538.752014,689.056030
538.752014,550.463989,689.056030
546.559998,538.752014,691.007996
546.559998,530.943970,692.960022
538.752014,527.039978,692.960022
540.703979,536.799988,683.200012
536.799988,527.039978,689.056030
536.799988,521.184021,694.911987
527.039978,530.943970,689.056030
525.088013,515.328003,685.151978
528.992004,525.088013,692.960022
528.992004,515.328003,681.247986
523.135986,521.184021,679.296021
528.992004,515.328003,675.392029
521.184021,519.231995,687.104004
519.231995,507.519989,681.247986
519.231995,513.375977,681.247986
507.519989,513.375977,681.247986
507.519989,509.471985,681.247986
515.328003,488.000000,685.151978
507.519989,499.712006,679.296021
511.424011,505.567993,679.296021
509.471985,493.855988,681.247986
511.424011,480.191986,679.296021
513.375977,488.000000,683.200012
513.375977,486.048004,687.104004
511.424011,480.191986,685.151978
507.519989,478.239990,683.200012
509.471985,468.480011,689.056030
505.567993,476.287994,692.960022
505.567993,474.335999,683.200012
505.567993,478.239990,687.104004
507.519989,474.335999,683.200012
