ACC_X,ACC_Y,ACC_Z,Time
-591.796875,309.082031,748.168945,0.000191
-577.148438,314.666748,753.204346,0.000942
-577.514648,313.476562,745.239258,0.001680
-583.465576,309.631348,751.190186,0.002463
-581.268311,316.223145,754.394531,0.003288
-580.902100,313.659668,761.627197,0.004094
-586.669922,319.976807,763.183594,0.004891
-581.909180,313.659668,752.563477,0.005689
-584.289551,310.180664,754.211426,0.006488
-581.359863,312.286377,760.711670,0.007255
-582.550049,314.117432,758.789062,0.008013
-577.423096,311.096191,759.246826,0.008774
-577.423096,313.934326,761.901855,0.009630
-577.423096,311.462402,754.394531,0.010428
-580.902100,315.948486,754.943848,0.011181
-578.796387,323.455811,771.972656,0.011960
-585.754395,313.476562,753.479004,0.012716
-586.029053,312.011719,755.950928,0.013566
-585.479736,315.856934,753.295898,0.014364
-582.092285,311.645508,758.331299,0.015180
-576.232910,314.575195,755.401611,0.015962
-575.866699,306.152344,755.859375,0.016757
-578.613281,308.990479,754.302979,0.017563
-583.923340,314.758301,756.225586,0.018330
-579.895020,306.243896,759.613037,0.019115
-579.895020,313.476562,754.028320,0.019922
-583.557129,310.546875,753.845215,0.020728
-580.718994,311.370850,759.613037,0.021504
-575.683594,314.941406,759.704590,0.022255
-582.092285,316.497803,754.119873,0.023025
-572.021484,312.011719,757.507324,0.023783
-574.584961,313.476562,757.598877,0.024542
-580.810547,312.652588,755.859375,0.025311
-576.690674,310.913086,749.633789,0.026110
-575.775146,314.483643,753.295898,0.026877
-577.148438,312.286377,755.584717,0.027642
-580.718994,317.687988,754.852295,0.028391
-576.232910,314.849854,756.134033,0.029165
-579.803467,310.729980,755.859375,0.029917
-584.472656,312.377930,753.936768,0.030676
-586.486816,309.906006,751.190186,0.031424
-580.993652,322.906494,748.992920,0.032199
-581.542969,317.962646,753.204346,0.032944
-581.909180,313.201904,754.394531,0.033691
-575.592041,315.399170,750.366211,0.034439
-574.310303,311.553955,752.929688,0.035178
-577.331543,315.856934,748.352051,0.035918
-578.521729,312.103271,759.796143,0.036665
-572.845459,310.546875,760.894775,0.037415
-577.423096,313.110352,756.317139,0.038164
-578.887939,310.180664,745.513916,0.038914
-582.916260,313.842773,751.373291,0.039678
-580.902100,307.617188,753.662109,0.040457
-581.726074,315.032959,752.929688,0.041220
-582.458496,313.934326,750.274658,0.041973
-580.261230,312.744141,755.493164,0.042717
-576.416016,311.187744,756.042480,0.043458
-572.113037,320.526123,754.028320,0.044198
-576.324463,304.687500,754.211426,0.044937
-575.134277,310.638428,753.112793,0.045677
-573.944092,316.131592,755.493164,0.046418
-577.697754,315.582275,750.000000,0.047159
-575.958252,314.300537,749.908447,0.047898
-577.331543,315.216064,748.352051,0.048638
-575.317383,307.525635,752.471924,0.049404
-568.817139,306.243896,749.267578,0.050146
-562.866211,314.758301,749.084473,0.050888
-564.422607,309.082031,756.866455,0.051630
-574.584961,308.898926,747.711182,0.052370
-567.901611,310.363770,753.479004,0.053110
-575.866699,308.715820,750.732422,0.053850
-567.810059,302.581787,748.168945,0.054590
-564.147949,296.356201,745.147705,0.055330
-565.979004,307.983398,747.253418,0.056069
-571.289062,308.349609,751.739502,0.056809
-567.077637,305.145264,752.014160,0.057549
-568.084717,312.927246,755.676270,0.058289
-570.648193,306.976318,751.464844,0.059029
-573.120117,308.715820,746.337891,0.059769
-574.035645,308.166504,751.464844,0.060508
-574.127197,308.349609,727.569580,0.061262
-572.570801,310.180664,754.486084,0.062003
-577.697754,311.920166,755.859375,0.062743
-571.014404,308.715820,756.683350,0.063482
-573.303223,317.138672,755.493164,0.064227
-569.458008,311.828613,755.676270,0.064967
-576.782227,311.279297,759.796143,0.065707
-577.789307,319.335938,748.260498,0.066446
-567.077637,318.420410,757.781982,0.067186
-573.577881,311.462402,749.816895,0.067925
-567.718506,317.413330,753.662109,0.068664
-573.669434,310.089111,756.591797,0.069403
-574.859619,307.617188,753.479004,0.070142
-576.965332,308.349609,754.577637,0.070881
-575.225830,317.962646,756.774902,0.071621
-584.014893,320.617676,757.141113,0.072472
-578.979492,307.800293,751.831055,0.073223
-578.063965,310.546875,756.958008,0.073964
-575.958252,316.040039,755.310059,0.074703
-585.571289,308.807373,751.739502,0.075443
-576.965332,311.462402,755.584717,0.076192
-576.049805,315.490723,729.125977,0.076932
-579.162598,305.694580,751.098633,0.077672
-578.430176,308.074951,753.479004,0.078411
-584.564209,305.236816,748.718262,0.079162
-579.071045,308.441162,750.915527,0.079902
-582.092285,308.258057,752.929688,0.080642
