ACC_X,ACC_Y,ACC_Z,Time
-532.562256,452.178955,722.900391,0.000336
-540.252686,454.833984,718.139648,0.002070
-539.245605,447.235107,729.400635,0.003749
-533.294678,457.763672,723.724365,0.005456
-533.752441,455.291748,726.196289,0.007134
-536.773682,459.869385,723.907471,0.008841
-538.696289,457.763672,725.830078,0.010545
-530.181885,465.728760,723.175049,0.012223
-528.533936,465.820312,726.745605,0.013924
-532.379150,458.038330,744.873047,0.015607
-530.456543,462.066650,722.900391,0.017308
-524.505615,459.136963,727.478027,0.018985
-521.942139,459.136963,724.456787,0.020683
-519.470215,465.270996,723.175049,0.022361
-517.364502,468.475342,722.625732,0.024076
-519.104004,461.059570,723.541260,0.025753
-516.815186,463.623047,725.830078,0.027453
-520.294189,463.531494,733.703613,0.029152
-520.843506,462.707520,734.527588,0.030830
-514.617920,447.875977,733.795166,0.032509
-519.378662,472.229004,727.752686,0.034188
-518.096924,473.144531,742.401123,0.035888
-524.597168,483.489990,739.746094,0.037566
-528.900146,488.159180,748.992920,0.039356
-533.294678,469.116211,744.049072,0.041033
-530.090332,493.103027,749.633789,0.042801
-532.745361,499.328613,748.260498,0.044611
-561.126709,498.046875,743.865967,0.046307
-539.520264,495.758057,748.901367,0.048037
-542.358398,497.039795,737.457275,0.049715
-535.308838,497.131348,745.239258,0.051415
-535.400391,494.018555,739.562988,0.053093
-561.859131,490.814209,743.591309,0.054792
-544.921875,483.581543,740.020752,0.056469
-540.618896,485.595703,745.422363,0.058168
-541.534424,484.222412,730.316162,0.059846
-542.907715,485.687256,729.949951,0.061522
-543.090820,475.799561,724.365234,0.063232
-536.590576,472.320557,723.724365,0.064903
-537.322998,463.256836,726.470947,0.066632
-539.886475,468.017578,715.301514,0.068309
-532.470703,455.474854,717.041016,0.070020
-536.590576,452.087402,728.759766,0.071586
-533.111572,453.460693,724.273682,0.072338
-530.639648,459.503174,714.569092,0.073153
-524.414062,455.841064,721.710205,0.073898
-531.280518,458.129883,729.583740,0.074641
-521.301270,458.770752,730.407715,0.075396
-520.111084,455.017090,715.393066,0.076140
-523.956299,451.080322,718.780518,0.076883
-526.611328,452.087402,719.696045,0.077627
-517.089844,454.376221,725.738525,0.078384
-520.111084,452.728271,714.019775,0.079128
-517.822266,451.538086,716.857910,0.079871
-528.350830,444.580078,712.371826,0.080615
-531.372070,452.087402,721.893311,0.081381
-531.555176,442.932129,718.322754,0.082127
-523.773193,447.875977,717.224121,0.082871
-526.977539,449.157715,721.435547,0.083614
