ACC_X,ACC_Y,ACC_Z
-248.748779,543.914795,793.853760
-248.748779,543.914795,793.853760
-248.748779,545.745850,796.325684
-250.854492,545.745850,793.121338
-246.459961,548.126221,793.121338
-246.459961,547.943115,793.670654
-248.016357,547.943115,793.670654
-248.016357,547.943115,793.670654
-250.488281,548.217773,795.593262
-250.488281,548.217773,795.593262
-250.488281,548.217773,796.325684
-249.755859,549.224854,796.325684
-249.755859,549.224854,796.325684
-249.755859,545.013428,792.022705
-247.558594,545.013428,792.022705
-247.558594,545.013428,815.460205
-251.403809,543.548584,796.875000
-251.403809,543.548584,796.875000
-251.403809,546.844482,797.882080
-247.833252,546.844482,797.882080
-247.833252,546.844482,797.882080
-246.551514,545.288086,788.909912
-246.551514,545.288086,788.909912
-246.551514,545.288086,793.395996
-246.643066,540.893555,793.395996
-246.643066,540.893555,793.395996
-252.777100,539.520264,797.515869
-252.777100,539.520264,797.515869
-252.777100,539.520264,798.614502
-244.171143,546.386719,798.614502
-244.171143,546.386719,798.614502
-244.171143,540.435791,800.537109
-247.833252,540.435791,800.537109
-247.833252,540.435791,800.537109
-252.410889,540.069580,797.241211
-252.410889,540.069580,797.241211
-252.410889,543.914795,798.522949
-248.382568,543.914795,798.522949
-248.382568,543.914795,798.522949
-251.037598,544.189453,797.241211
-251.037598,544.189453,797.241211
-251.037598,544.189453,773.803711
-245.452881,544.006348,796.325684
-245.452881,544.006348,796.325684
-245.452881,544.006348,796.600342
-247.283936,539.611816,796.600342
-247.283936,539.611816,796.600342
-242.431641,543.823242,799.621582
-242.431641,543.823242,799.621582
-242.431641,543.823242,799.621582
-242.065430,542.633057,797.149658
-242.065430,542.633057,797.149658
-242.065430,542.633057,773.712158
-241.333008,540.710449,796.051025
-241.333008,540.710449,796.051025
-241.333008,540.710449,801.361084
-240.051270,544.830322,801.361084
-240.051270,544.830322,801.361084
-233.093262,543.914795,797.973633
-233.093262,543.914795,797.973633
-233.093262,543.914795,797.973633
-238.037109,541.076660,806.304932
-238.037109,541.076660,806.304932
-238.037109,541.076660,803.009033
-243.804932,544.189453,803.009033
-243.804932,544.189453,803.009033
-243.804932,539.245605,804.565430
-239.318848,539.245605,804.565430
-239.318848,539.245605,804.565430
-233.276367,546.569824,804.290771
-233.276367,546.569824,804.290771
-233.276367,546.569824,805.206299
-237.396240,543.823242,805.206299
-237.396240,543.823242,805.206299
-237.396240,536.407471,803.375244
-241.882324,536.407471,803.375244
-241.882324,536.407471,803.375244
-246.276855,538.421631,800.354004
-246.276855,538.421631,800.354004
-246.276855,540.802002,802.551270
-241.973877,540.802002,802.551270
-241.973877,540.802002,802.551270
-247.467041,542.083740,796.325684
-247.467041,542.083740,796.325684
-247.467041,542.083740,819.763184
-244.079590,552.246094,802.093506
-244.079590,552.246094,802.093506
-244.079590,550.415039,803.192139
-243.164062,550.415039,803.192139
-243.164062,550.415039,797.241211
-242.889404,542.541504,797.241211
-242.889404,542.541504,797.241211
-242.889404,548.950195,792.663574
-248.199463,548.950195,792.663574
-248.199463,548.950195,792.663574
-253.417969,550.964355,790.924072
-253.417969,550.964355,790.924072
-253.417969,550.964355,788.909912
-247.467041,545.837402,788.909912
-247.467041,545.837402,788.909912
-245.361328,543.823242,789.367676
-245.361328,543.823242,789.367676
-245.361328,543.823242,812.805176
-237.854004,547.668457,800.445557
-237.854004,547.668457,800.445557
-237.854004,547.668457,806.488037
-238.311768,549.133301,806.488037
-238.311768,549.133301,806.488037
-241.241455,551.788330,804.382324
-241.241455,551.788330,804.382324
-241.241455,551.788330,792.938232
-251.037598,549.591064,792.938232
-251.037598,549.591064,792.938232
-251.037598,554.168701,795.593262
-249.023438,554.168701,795.593262
-249.023438,554.168701,795.593262
-250.030518,552.062988,793.304443
-250.030518,552.062988,793.304443
-250.030518,552.062988,791.015625
-249.389648,560.668945,791.015625
-249.389648,560.668945,791.015625
-246.093750,555.175781,791.015625
-246.093750,555.175781,791.015625
-246.093750,555.175781,791.015625
-243.804932,549.591064,792.572021
-243.804932,549.591064,792.572021
-243.804932,549.591064,796.600342
-243.438721,546.844482,796.600342
-243.438721,546.844482,796.600342
-243.438721,550.140381,802.001953
-239.410400,550.140381,802.001953
-239.410400,550.140381,802.001953
-237.762451,547.027588,801.452637
-237.762451,547.027588,801.452637
-237.762451,547.027588,801.452637
-241.790771,544.555664,797.058105
-241.790771,544.555664,797.058105
-241.790771,543.273926,790.466309
-244.628906,543.273926,790.466309
-244.628906,543.273926,790.466309
-244.720459,548.126221,798.889160
-244.720459,548.126221,798.889160
-244.720459,548.126221,797.882080
-246.917725,549.682617,797.882080
-246.917725,549.682617,797.882080
-246.917725,544.372559,795.410156
-246.551514,544.372559,795.410156
-246.551514,544.372559,795.410156
-246.002197,541.259766,799.987793
-246.002197,541.259766,799.987793
-246.002197,541.259766,799.987793
-243.255615,539.886475,802.093506
-243.255615,539.886475,802.093506
-243.255615,539.886475,799.255371
-244.079590,534.118652,799.255371
-244.079590,534.118652,799.255371
-244.079590,539.154053,797.241211
-242.340088,539.154053,797.241211
-242.340088,539.154053,797.241211
-246.459961,543.823242,800.720215
-246.459961,543.823242,800.720215
-246.459961,543.823242,800.720215
-244.079590,542.358398,798.706055
-244.079590,542.358398,798.706055
-244.079590,542.358398,802.551270
-238.952637,539.428711,802.551270
-238.952637,539.428711,802.551270
-238.952637,538.055420,800.079346
-235.839844,538.055420,800.079346
-235.839844,538.055420,800.079346
-240.234375,542.633057,799.255371
-240.234375,542.633057,799.255371
-240.234375,542.633057,799.255371
-241.973877,543.731689,793.304443
-241.973877,543.731689,793.304443
-241.973877,543.731689,785.156250
-252.044678,538.970947,785.156250
-252.044678,538.970947,785.156250
-252.044678,562.408447,790.832520
-253.326416,546.386719,790.832520
-253.326416,546.386719,790.832520
-253.326416,548.034668,795.684814
-251.953125,548.034668,795.684814
-251.953125,548.034668,795.684814
-251.953125,552.978516,794.036865
-253.051758,552.978516,794.036865
-253.051758,552.978516,794.036865
-250.762939,548.492432,794.952393
-250.762939,548.492432,794.952393
-250.762939,548.492432,794.952393
-251.403809,542.999268,793.395996
-251.403809,542.999268,793.395996
-251.403809,542.999268,816.833496
-254.791260,546.203613,797.332764
-254.791260,546.203613,797.332764
-254.791260,546.203613,802.642822
-250.488281,546.661377,802.642822
-250.488281,546.661377,802.642822
-250.488281,543.457031,800.445557
