ACC_X,ACC_Y,ACC_Z,Time
-63.446045,863.616943,506.011963,0.000143
-68.298340,862.701416,498.229980,0.000896
-67.016602,866.455078,502.166748,0.001636
-67.474365,866.180420,501.617432,0.002376
-64.727783,867.004395,507.843018,0.003136
-74.615479,844.848633,506.103516,0.003883
-64.361572,857.940674,507.476807,0.004641
-53.741455,862.335205,499.237061,0.005385
-55.480957,869.110107,500.976562,0.006147
-56.579590,865.722656,502.716064,0.006888
-62.255859,863.525391,508.026123,0.007628
-63.171387,860.412598,502.441406,0.008379
-65.551758,863.342285,505.737305,0.009119
-62.164307,861.145020,498.687744,0.009857
-62.530518,853.363037,501.800537,0.010594
-66.467285,850.982666,512.786865,0.011348
-64.361572,853.637695,503.082275,0.012083
-66.650391,851.531982,492.279053,0.012816
-62.255859,855.834961,492.645264,0.013548
-57.952881,842.651367,488.159180,0.014291
-61.981201,842.651367,495.574951,0.015033
-61.706543,846.771240,494.384766,0.015774
-65.643311,843.383789,490.722656,0.016515
-74.615479,845.489502,487.243652,0.017257
-62.896729,841.735840,477.081299,0.017997
-58.319092,860.504150,486.694336,0.018739
-62.988281,838.714600,478.729248,0.019480
-64.453125,837.341309,474.426270,0.020221
-67.657471,836.242676,476.898193,0.020967
-70.312500,837.158203,484.405518,0.021710
-74.890137,836.883545,479.827881,0.022451
-70.220947,824.890137,474.517822,0.023210
-71.594238,830.749512,478.546143,0.023951
-71.868896,827.636719,470.031738,0.024691
-68.756104,828.094482,471.130371,0.025432
-64.270020,833.953857,484.313965,0.026184
-72.692871,830.841064,486.968994,0.026925
-73.974609,832.305908,478.546143,0.027665
-66.009521,833.038330,474.792480,0.028406
-67.199707,833.953857,481.201172,0.029149
-71.594238,841.918945,485.412598,0.029880
-72.784424,842.010498,487.976074,0.030611
-74.615479,844.024658,485.504150,0.031342
-69.305420,839.904785,484.588623,0.032085
-77.270508,838.256836,510.681152,0.032826
-76.354980,836.975098,486.785889,0.033567
-79.010010,846.130371,492.095947,0.034308
-75.164795,844.299316,487.335205,0.035049
-68.664551,845.031738,489.807129,0.035790
-66.925049,849.426270,499.786377,0.036530
-75.256348,840.087891,494.110107,0.037271
-72.052002,848.052979,494.750977,0.038012
-77.178955,846.130371,496.032715,0.038753
-69.946289,850.616455,498.504639,0.039494
