ACC_X,ACC_Y,ACC_Z,Time
-332.702637,844.757080,424.987793,0.000069
-331.146240,841.461182,433.776855,0.001241
-330.230713,841.186523,427.001953,0.002405
-331.970215,832.855225,417.388916,0.003577
-329.681396,838.897705,412.078857,0.004740
-331.878662,829.833984,412.994385,0.005903
-337.188721,829.925537,410.430908,0.007071
-336.639404,834.228516,417.480469,0.008234
-327.758789,831.115723,423.889160,0.009424
-324.554443,836.975098,434.417725,0.010593
-318.878174,835.784912,426.635742,0.011756
-318.328857,836.791992,431.213379,0.012926
-320.159912,836.975098,429.290771,0.014089
-321.807861,840.728760,423.522949,0.015256
-322.723389,833.679199,425.811768,0.016419
-319.702148,839.080811,427.459717,0.017593
-320.617676,838.806152,425.628662,0.018787
-319.976807,838.256836,429.016113,0.019954
-316.040039,843.383789,425.079346,0.021119
-309.997559,842.010498,429.840088,0.022282
-320.159912,824.523926,424.255371,0.023417
-313.110352,841.827393,428.741455,0.024529
-311.370850,834.136963,427.825928,0.025624
-308.715820,833.038330,418.487549,0.026716
-310.638428,827.362061,421.051025,0.027816
-316.223145,832.031250,422.058105,0.028908
-319.152832,839.172363,425.170898,0.030004
-319.885254,837.432861,425.262451,0.031096
-311.096191,839.721680,419.677734,0.032188
-320.343018,843.292236,418.945312,0.033282
-319.244385,846.221924,426.544189,0.034373
-314.300537,847.045898,424.072266,0.035464
-313.018799,850.250244,423.797607,0.036580
-306.335449,849.884033,417.755127,0.037677
-310.913086,851.348877,424.255371,0.038776
-309.082031,852.996826,418.853760,0.039868
-313.751221,853.454590,420.501709,0.040959
-306.610107,863.708496,424.713135,0.042056
-309.539795,868.103027,431.488037,0.043146
-307.250977,872.406006,427.825928,0.044253
-310.546875,873.687744,428.649902,0.045353
-312.286377,873.413086,427.093506,0.046445
-316.589355,867.553711,439.270020,0.047540
-314.941406,867.919922,433.959961,0.048638
-310.821533,870.025635,431.213379,0.049734
-316.314697,865.356445,437.988281,0.050835
-317.413330,857.757568,425.354004,0.051931
-316.772461,862.335205,427.917480,0.053028
-328.033447,850.799561,421.691895,0.054128
-325.561523,851.165771,419.219971,0.055225
-332.794189,853.546143,414.001465,0.056326
-331.604004,845.764160,408.966064,0.057435
-333.068848,840.362549,419.403076,0.058543
-328.674316,843.109131,412.261963,0.059648
-332.153320,849.243164,409.881592,0.060746
-342.773438,821.228027,413.452148,0.061843
-339.477539,847.686768,412.628174,0.062941
-342.681885,844.665527,409.790039,0.064034
-373.992920,848.419189,398.803711,0.065129
-348.449707,850.616455,402.008057,0.066219
-343.048096,855.010986,405.395508,0.067308
-345.611572,853.637695,399.993896,0.068424
-344.787598,858.489990,402.099609,0.069518
-346.252441,859.680176,403.747559,0.070610
-360.626221,860.504150,407.684326,0.071708
-357.055664,844.665527,405.761719,0.072800
-359.619141,870.025635,412.353516,0.073891
-361.633301,869.567871,412.536621,0.074981
-358.245850,875.793457,405.487061,0.076072
-355.590820,881.744385,407.501221,0.077177
-358.703613,884.857178,415.466309,0.078269
-362.915039,884.490967,416.931152,0.079359
-361.450195,892.364502,416.656494,0.080462
-357.330322,897.857666,422.149658,0.081554
-362.274170,896.301270,425.720215,0.082646
-359.893799,902.160645,444.488525,0.083737
-359.527588,908.203125,437.713623,0.084829
-353.302002,911.865234,422.698975,0.085925
-352.478027,904.174805,437.347412,0.087016
-357.238770,902.160645,433.502197,0.088108
-360.260010,907.745361,430.938721,0.089203
-365.020752,904.357910,424.987793,0.090294
-362.457275,906.097412,433.776855,0.091385
-358.337402,903.717041,431.121826,0.092480
-358.337402,903.533936,419.860840,0.093572
-356.140137,910.675049,427.001953,0.094664
-350.555420,899.322510,433.593750,0.095761
-350.738525,900.970459,434.783936,0.096857
-351.928711,900.787354,431.304932,0.097797
-350.921631,902.343750,428.466797,0.098533
-353.027344,890.899658,420.593262,0.099268
-351.745605,897.583008,427.459717,0.100003
-351.470947,896.484375,425.903320,0.100737
