ACC_X,ACC_Y,ACC_Z,Time
-452.362061,656.066895,587.493896,1.875207
-456.390381,649.932861,583.282471,1.875937
-454.376221,654.327393,579.162598,1.876694
-447.875977,654.144287,586.761475,1.877435
-455.566406,653.869629,594.726562,1.878176
-451.35498,654.785156,579.345703,1.878936
-453.186035,656.341553,583.831787,1.879677
-459.136963,655.24292,579.162598,1.880418
-458.862305,678.863525,581.268311,1.881158
-455.841064,652.679443,579.162598,1.881899
-455.291748,648.651123,587.677002,1.88264
-458.496094,651.123047,584.197998,1.88338
-456.207275,658.813477,587.219238,1.884121
-458.587646,634.277344,585.9375,1.884862
-458.221436,659.088135,583.92334,1.885595
-464.447021,655.700684,582.183838,1.886326
-462.06665,652.404785,608.001709,1.887056
-449.34082,652.130127,592.254639,1.887786
-453.460693,657.531738,586.120605,1.888527
-459.777832,655.426025,586.303711,1.889267
-463.623047,664.398193,587.95166,1.890007
-457.672119,665.679932,588.043213,1.890748
-464.72168,656.707764,587.219238,1.891482
-455.291748,659.27124,591.705322,1.892212
-459.777832,662.475586,587.127686,1.892943
-461.975098,659.820557,588.043213,1.893673
-459.411621,663.116455,584.838867,1.894412
-456.390381,661.560059,582.733154,1.895152
-460.968018,655.792236,588.134766,1.895893
-456.573486,659.912109,590.148926,1.896634
-464.172363,661.92627,583.92334,1.897378
-464.080811,663.208008,585.021973,1.898109
-461.517334,662.29248,580.26123,1.898839
-467.376709,664.398193,589.691162,1.89957
-455.01709,651.580811,588.134766,1.900309
-463.989258,657.348633,588.043213,1.901048
-461.334229,658.172607,595.64209,1.901787
-462.06665,663.848877,597.564697,1.902527
-464.080811,659.088135,586.395264,1.903272
-458.221436,663.391113,562.957764,1.904011
-464.538574,660.919189,587.860107,1.90475
-466.186523,661.651611,593.62793,1.905488
-463.7146,657.989502,586.395264,1.906228
-468.292236,659.912109,591.430664,1.906968
-459.228516,651.397705,592.254639,1.907818
-458.862305,656.524658,590.057373,1.90856
-463.07373,659.912109,596.008301,1.909311
-460.784912,656.341553,596.282959,1.910052
-458.953857,654.693604,589.874268,1.910792
-456.298828,653.137207,588.592529,1.911533
-461.242676,653.778076,586.578369,1.912285
-460.784912,649.658203,585.479736,1.913025
-451.538086,655.792236,580.078125,1.913766
-456.207275,650.20752,582.000732,1.91451
-457.946777,648.193359,591.522217,1.915268
-459.411621,652.038574,580.352783,1.916024
-464.355469,647.827148,580.535889,1.916766
-459.594727,650.57373,583.282471,1.917507
-461.151123,656.524658,589.508057,1.918212
-451.812744,656.25,582.183838,1.918953
-455.108643,653.503418,582.458496,1.919694
-455.657959,654.602051,588.043213,1.920435
-451.171875,645.446777,579.345703,1.921185
-451.629639,653.503418,586.029053,1.921925
-454.650879,652.22168,582.458496,1.922666
-448.883057,646.362305,582.91626,1.923407
-447.601318,645.629883,583.374023,1.924147
-444.854736,644.165039,579.528809,1.924878
-447.052002,644.53125,589.233398,1.925609
-447.967529,654.510498,586.212158,1.92634
-445.861816,647.827148,578.704834,1.927095
-444.488525,648.742676,584.197998,1.927838
-446.594238,643.890381,582.550049,1.928587
-453.643799,651.031494,594.360352,1.929349
-456.665039,647.003174,592.62085,1.930119
-459.411621,648.010254,584.838867,1.93086
-448.883057,651.580811,590.606689,1.9316
-421.966553,652.496338,584.381104,1.93234
-447.509766,647.094727,586.853027,1.933091
-448.699951,650.024414,593.170166,1.933831
-452.270508,633.453369,582.91626,1.934572
-450.98877,648.651123,584.93042,1.935312
-451.99585,653.411865,585.9375,1.936055
-447.967529,651.763916,609.008789,1.936786
-457.214355,653.22876,583.099365,1.937517
-453.460693,647.460938,584.106445,1.938248
-456.115723,650.390625,583.831787,1.939034
-460.693359,646.179199,577.23999,1.939785
-460.693359,648.101807,586.669922,1.94054
-458.221436,651.031494,585.479736,1.941285
-459.594727,646.636963,589.233398,1.94207
-454.01001,646.728516,590.057373,1.942816
-459.136963,644.53125,587.95166,1.943557
-459.228516,647.003174,579.89502,1.944316
-458.129883,646.362305,571.746826,1.945057
-455.657959,652.496338,583.831787,1.945798
-457.580566,651.489258,582.733154,1.946538
-456.115723,660.736084,583.465576,1.94728
-455.474854,632.8125,582.824707,1.948021
-456.481934,650.57373,582.550049,1.948761
-455.200195,658.081055,583.831787,1.949502
-458.221436,654.418945,585.388184,1.950245
-463.897705,655.975342,582.092285,1.950976
-455.749512,665.863037,587.585449,1.951707
-462.890625,648.742676,576.141357,1.952438
-457.489014,647.735596,587.768555,1.953176
-457.397461,657.073975,585.479736,1.953917
-459.869385,655.700684,586.303711,1.954657
-450.3479,637.939453,578.613281,1.955398
-458.862305,654.23584,576.049805,1.956139
-456.390381,654.23584,582.824707,1.956879
-451.35498,659.27124,584.106445,1.95762
-462.158203,649.56665,576.782227,1.958361
-459.869385,656.066895,582.183838,1.959102
-460.693359,648.925781,582.733154,1.959843
-460.784912,655.24292,577.423096,1.960584
-458.129883,653.961182,580.627441,1.961325
-457.122803,652.954102,582.000732,1.962084
-452.453613,657.440186,577.789307,1.962826
-455.291748,661.010742,584.472656,1.963566
-455.383301,662.200928,584.838867,1.964307
-453.277588,666.320801,585.754395,1.965047
-450.98877,662.567139,586.120605,1.965787
-452.911377,659.820557,587.402344,1.966527
-451.629639,661.193848,588.317871,1.967268
-455.291748,670.623779,590.332031,1.968002
-447.052002,672.729492,581.451416,1.968732
-450.073242,671.630859,605.987549,1.969463
-456.115723,668.792725,577.697754,1.970194
-453.277588,677.947998,589.416504,1.970932
-445.220947,682.800293,588.684082,1.971673
-442.840576,684.448242,586.761475,1.972413
-444.488525,691.589355,587.768555,1.973154
-440.460205,693.878174,588.684082,1.973894
-437.255859,690.39917,592.712402,1.974635
-442.657471,694.061279,586.212158,1.975376
-449.981689,707.427979,577.606201,1.976117
-455.108643,684.265137,594.909668,1.97687
-450.164795,702.667236,591.339111,1.977611
