ACC_X,ACC_Y,ACC_Z,Time
-10.803223,896.759033,384.155273,1.716156
-5.67627,901.062012,395.050049,1.7169
-5.493164,911.132812,381.591797,1.717644
-9.246826,904.724121,383.605957,1.718387
-18.035889,902.526855,382.324219,1.719131
-18.218994,905.914307,389.465332,1.719901
-5.859375,899.139404,379.577637,1.720657
-12.542725,900.695801,388.824463,1.721421
-19.40918,898.406982,383.514404,1.722173
-11.71875,903.625488,377.380371,1.722983
-14.190674,900.787354,384.155273,1.723729
-16.571045,895.6604,377.01416,1.724491
-9.613037,899.32251,378.936768,1.725235
-7.324219,902.526855,378.753662,1.725979
-12.084961,902.801514,382.69043,1.726725
-12.451172,902.34375,381.317139,1.727483
-13.183594,910.308838,389.099121,1.728227
-16.021729,898.773193,381.591797,1.72897
-17.211914,904.632568,396.148682,1.729714
-19.042969,908.477783,395.599365,1.730458
-23.529053,904.907227,393.310547,1.731193
-20.690918,892.63916,396.514893,1.731927
-29.205322,913.604736,396.881104,1.732661
-19.40918,917.175293,396.148682,1.73342
-21.789551,912.231445,394.775391,1.734164
-19.958496,914.703369,393.310547,1.734909
-20.690918,910.400391,397.705078,1.735653
-14.73999,912.597656,397.979736,1.736397
-18.4021,911.04126,389.190674,1.737142
-11.627197,909.484863,396.42334,1.737886
-14.648438,908.569336,390.289307,1.738696
-15.014648,913.146973,390.930176,1.739454
-21.057129,905.090332,389.099121,1.740199
-19.134521,912.04834,385.803223,1.740943
-24.261475,905.731201,383.056641,1.741687
-19.226074,911.499023,389.099121,1.742445
-17.852783,905.273438,386.169434,1.74319
-13.183594,909.0271,386.077881,1.743935
-15.289307,914.794922,380.493164,1.744678
-4.943848,908.02002,385.986328,1.745433
-3.02124,921.112061,390.655518,1.746176
-12.817383,921.295166,396.881104,1.74692
-8.605957,913.421631,386.627197,1.747664
-18.035889,915.802002,396.057129,1.748407
-15.74707,911.956787,394.592285,1.749142
-15.380859,920.013428,392.852783,1.749876
-7.965088,921.569824,394.683838,1.750611
-17.76123,924.77417,400.085449,1.751357
-8.880615,919.189453,398.345947,1.752119
-8.056641,919.647217,391.662598,1.752863
-19.042969,919.73877,384.521484,1.753607
-18.951416,921.386719,380.67627,1.754361
-25.085449,915.893555,379.211426,1.755105
-17.578125,911.407471,386.077881,1.755842
-19.226074,914.154053,374.725342,1.756576
-11.810303,908.935547,375.0,1.757333
-17.486572,903.808594,373.077393,1.758077
-20.874023,900.512695,368.95752,1.758821
-23.162842,902.526855,374.450684,1.75957
-19.40918,902.893066,366.027832,1.760324
-20.050049,898.498535,374.633789,1.761069
-14.007568,904.266357,376.831055,1.761813
-15.014648,908.02002,370.513916,1.762651
-5.67627,898.864746,376.00708,1.763396
-2.746582,902.893066,368.31665,1.76414
-11.260986,909.210205,377.197266,1.764884
-14.73999,909.667969,377.563477,1.765636
-12.176514,909.0271,371.429443,1.766371
-6.774902,916.351318,371.887207,1.767105
-13.824463,910.125732,367.126465,1.767839
-16.662598,902.893066,371.97876,1.768573
-8.880615,899.32251,368.865967,1.769331
-9.338379,898.498535,373.077393,1.770075
-9.613037,908.660889,385.253906,1.770819
-17.39502,899.963379,385.253906,1.771562
-15.838623,914.0625,402.282715,1.772316
-8.880615,921.661377,415.374756,1.77306
-13.916016,928.985596,428.009033,1.773803
-10.070801,928.710938,426.177979,1.774548
-6.408691,920.837402,429.656982,1.775301
-7.598877,925.323486,433.868408,1.776045
-1.739502,924.407959,425.262451,1.776788
6.04248,918.640137,402.740479,1.777532
-2.471924,918.731689,383.056641,1.778276
-3.570557,906.097412,370.056152,1.779011
-7.69043,899.688721,358.612061,1.779745
-10.620117,896.118164,350.738525,1.780479
-14.099121,896.30127,343.048096,1.781149
-18.859863,895.6604,338.83667,1.781892
-23.4375,889.434814,338.012695,1.782644
-23.162842,896.392822,337.005615,1.783391
-29.754639,885.498047,338.83667,1.784198
-32.592773,886.962891,343.139648,1.784949
-36.254883,885.681152,349.54834,1.785693
-32.318115,881.469727,343.597412,1.786437
-32.043457,876.068115,358.978271,1.787072
-27.191162,878.448486,370.239258,1.787818
-28.198242,876.434326,377.197266,1.788581
-19.226074,878.173828,376.739502,1.789342
-27.008057,883.850098,365.112305,1.790094
-29.47998,885.864258,360.351562,1.790865
-37.078857,878.265381,354.58374,1.791614
-43.395996,882.843018,339.84375,1.792379
-40.100098,889.892578,328.765869,1.793124
-33.508301,886.505127,316.864014,1.793868
-61.248779,876.800537,302.398682,1.794611
-57.128906,872.86377,288.299561,1.795366
-46.417236,863.433838,291.687012,1.796111
-54.931641,862.701416,292.510986,1.796855
-55.938721,862.518311,281.707764,1.797599
-54.56543,865.722656,281.616211,1.79834
-58.959961,866.271973,282.623291,1.799074
-73.883057,880.92041,295.715332,1.799811
-68.206787,879.272461,303.222656,1.800547
-73.33374,882.659912,307.434082,1.801303
-78.643799,874.145508,305.603027,1.802047
-78.643799,873.413086,296.99707,1.80281
-90.270996,873.596191,301.757812,1.803555
-83.496094,865.814209,298.553467,1.804299
-86.883545,865.905762,279.968262,1.805044
-75.622559,876.617432,286.560059,1.805787
-78.277588,869.842529,286.468506,1.806531
-74.981689,865.905762,288.482666,1.807287
-72.967529,878.90625,300.384521,1.808031
-68.389893,888.244629,313.568115,1.808817
-68.847656,894.287109,337.738037,1.80958
-65.368652,889.984131,337.554932,1.81035
-65.368652,900.146484,351.287842,1.811095
-52.093506,903.991699,353.027344,1.811839
-52.55127,904.449463,361.083984,1.812583
-45.86792,904.541016,368.408203,1.813337
-34.332275,913.604736,370.788574,1.814081
-37.719727,915.161133,385.894775,1.814824
-33.14209,917.633057,384.796143,1.815568
-35.339355,912.597656,393.493652,1.816312
-33.599854,937.225342,399.44458,1.817047
-35.614014,921.569824,393.859863,1.817781
-35.522461,939.422607,396.240234,1.818517
-30.395508,964.141846,391.571045,1.819325
-35.980225,958.831787,405.212402,1.820084
-21.057129,963.592529,422.973633,1.82083
-22.705078,963.867188,427.91748,1.821574
-19.500732,964.874268,431.854248,1.82234
-1.00708,969.360352,445.678711,1.823084
6.958008,970.64209,443.664551,1.823828
23.254395,972.381592,446.502686,1.824572
29.937744,976.776123,459.411621,1.825316
37.078857,972.930908,467.102051,1.826051
43.670654,977.600098,469.665527,1.826785
46.234131,981.994629,481.750488,1.827519
35.247803,981.994629,476.806641,1.828304
31.677246,984.008789,464.172363,1.829058
23.162842,983.734131,446.594238,1.829801
17.578125,977.966309,446.868896,1.830544
5.493164,967.987061,432.128906,1.83129
-6.68335,957.366943,418.579102,1.832025
-7.69043,952.697754,379.669189,1.832735
-3.662109,941.802979,366.851807,1.83347
-7.598877,933.013916,371.520996,1.834216
3.662109,923.583984,361.907959,1.834965
16.571045,926.605225,361.541748,1.835793
24.353027,926.696777,364.837646,1.836552
26.092529,925.415039,381.68335,1.837296
28.381348,914.245605,390.930176,1.83804
34.515381,919.73877,397.979736,1.838784
35.064697,928.070068,406.219482,1.839528
34.423828,922.76001,415.19165,1.840272
35.980225,917.724609,402.282715,1.841016
30.12085,922.210693,401.916504,1.84176
31.402588,914.337158,388.824463,1.842497
32.958984,914.0625,375.366211,1.843231
20.324707,895.751953,364.654541,1.843966
21.606445,895.6604,350.280762,1.8447
19.226074,893.829346,349.639893,1.845468
15.930176,889.526367,345.611572,1.846215
14.465332,883.666992,344.146729,1.846961
11.352539,884.490967,336.914062,1.847705
5.950928,885.772705,335.540771,1.848467
6.591797,879.638672,346.435547,1.849211
20.141602,882.202148,349.914551,1.849954
13.916016,885.681152,360.443115,1.850699
14.648438,884.216309,359.25293,1.851456
24.993896,886.505127,359.985352,1.852249
33.691406,886.688232,369.049072,1.852985
31.219482,885.955811,361.724854,1.85372
20.690918,879.547119,354.400635,1.854479
20.141602,881.652832,355.682373,1.855238
21.972656,886.779785,358.703613,1.855988
17.669678,883.483887,353.210449,1.856763
16.662598,887.145996,348.358154,1.857534
11.71875,884.765625,345.336914,1.858278
18.218994,890.625,340.118408,1.859023
2.197266,897.674561,350.646973,1.859767
15.930176,899.230957,362.457275,1.860546
23.895264,900.878906,369.781494,1.8613
17.669678,903.442383,382.049561,1.862067
43.395996,912.963867,391.296387,1.862817
28.381348,913.696289,401.000977,1.86356
21.881104,925.964355,413.269043,1.864304
11.993408,927.886963,412.353516,1.865047
3.204346,933.929443,414.001465,1.865791
4.119873,928.710938,412.17041,1.866554
-6.591797,934.020996,406.860352,1.867298
-16.479492,929.351807,393.218994,1.868041
-15.197754,928.527832,382.507324,1.868785
-27.008057,928.527832,385.070801,1.86953
-27.099609,931.640625,372.070312,1.870264
-32.867432,927.429199,372.619629,1.870998
-39.459229,919.921875,373.535156,1.871732
-43.395996,920.562744,367.767334,1.872492
-46.325684,917.907715,375.640869,1.873238
-41.8396,905.456543,380.218506,1.873981
-43.029785,904.724121,372.98584,1.874725
-32.867432,909.301758,369.049072,1.87548
-31.677246,913.970947,375.274658,1.876224
-39.916992,907.287598,371.520996,1.876967
-37.17041,903.900146,372.802734,1.877711
-36.804199,905.273438,373.901367,1.878464
-45.776367,906.188965,370.056152,1.879208
-43.487549,896.209717,368.31665,1.879951
-54.473877,891.906738,366.394043,1.880694
-56.213379,897.125244,361.724854,1.881438
-63.62915,901.885986,357.147217,1.882172
-68.389893,895.751953,361.541748,1.882906
-68.115234,896.30127,369.232178,1.88364
-59.234619,898.773193,378.936768,1.884407
-90.820312,905.090332,394.317627,1.885151
-71.228027,902.618408,397.521973,1.885895
-64.910889,910.217285,397.888184,1.886639
-69.122314,913.970947,393.310547,1.887392
-57.861328,921.936035,405.12085,1.888136
-83.221436,917.175293,411.437988,1.888879
-69.946289,921.478271,408.325195,1.889622
-69.671631,919.464111,406.860352,1.890365
-67.932129,914.337158,395.782471,1.891099
-67.749023,922.943115,390.563965,1.891833
-68.756104,914.794922,388.824463,1.892567
-66.28418,914.245605,389.190674,1.893321
-70.037842,913.421631,373.809814,1.894064
-64.727783,926.879883,371.520996,1.894807
-63.537598,919.0979,371.887207,1.895564
-61.889648,914.0625,362.365723,1.896365
-54.016113,912.689209,365.936279,1.897112
-49.987793,918.731689,367.767334,1.897856
-50.628662,916.534424,373.077393,1.898601
-42.663574,917.816162,373.901367,1.899345
-43.487549,916.534424,376.922607,1.900089
-34.973145,921.75293,383.69751,1.900833
-29.296875,920.471191,380.67627,1.901577
-30.12085,917.816162,377.655029,1.902322
-37.17041,912.689209,373.626709,1.903057
-37.17041,917.633057,372.070312,1.903792
-29.296875,908.569336,366.394043,1.904526
-34.14917,899.871826,368.133545,1.905299
-36.346436,895.843506,365.020752,1.906045
-31.585693,894.65332,363.372803,1.906789
-28.564453,886.322021,352.294922,1.907544
-23.254395,887.786865,348.175049,1.908288
-9.70459,887.786865,343.048096,1.909032
-17.028809,877.990723,337.921143,1.909859
6.317139,862.884521,339.660645,1.910696
-21.240234,861.968994,331.878662,1.911444
16.113281,857.025146,325.744629,1.912188
22.705078,838.439941,322.357178,1.912932
24.078369,820.770264,319.42749,1.91369
25.085449,848.7854,311.462402,1.914434
20.324707,870.574951,320.159912,1.915178
25.817871,889.068604,321.258545,1.915921
23.803711,908.477783,310.180664,1.916675
-13.458252,867.828369,342.315674,1.917418
56.671143,864.349365,345.703125,1.918162
0.091553,858.856201,301.940918,1.918906
16.479492,861.053467,333.709717,1.919651
24.627686,848.327637,345.794678,1.920386
46.875,836.151123,331.787109,1.92112
7.873535,866.729736,330.505371,1.921854
85.327148,865.539551,338.928223,1.922613
74.615479,858.123779,388.366699,1.923357
83.587646,879.821777,381.225586,1.924101
108.947754,872.497559,366.668701,1.924845
74.34082,882.385254,395.050049,1.925602
111.968994,869.476318,382.324219,1.926347
96.588135,856.933594,370.513916,1.927091
67.932129,843.75,362.915039,1.927835
98.602295,865.447998,355.773926,1.928588
49.530029,864.898682,348.175049,1.929339
32.867432,858.48999,350.830078,1.930156
40.19165,855.743408,356.506348,1.930944
-1.739502,875.244141,323.547363,1.931712
-30.487061,883.758545,326.751709,1.932456
-13.458252,883.575439,340.393066,1.9332
-36.254883,881.92749,357.055664,1.933945
-24.627686,895.019531,362.823486,1.934699
2.380371,892.547607,395.050049,1.935443
-3.387451,887.786865,408.050537,1.936187
44.677734,882.293701,423.980713,1.936931
65.002441,878.448486,427.093506,1.937675
67.199707,869.476318,432.58667,1.938409
73.883057,867.095947,429.56543,1.939144
98.968506,863.250732,426.177979,1.939878
74.981689,860.870361,409.240723,1.940638
65.460205,863.525391,398.529053,1.941382
55.938721,845.489502,395.690918,1.942126
48.522949,836.975098,383.972168,1.94287
17.578125,837.06665,367.675781,1.943623
19.958496,828.369141,352.111816,1.944367
11.535645,833.679199,348.266602,1.945111
4.577637,821.777344,341.033936,1.945855
45.86792,822.32666,327.941895,1.946608
24.627686,827.545166,324.279785,1.947354
38.17749,803.833008,326.843262,1.948098
41.381836,809.417725,329.772949,1.948842
81.848145,817.016602,326.019287,1.949589
32.592773,818.115234,356.5979,1.950323
67.840576,817.108154,353.485107,1.951057
85.510254,848.693848,339.477539,1.951791
58.776855,842.74292,348.083496,1.95256
81.481934,838.07373,345.428467,1.953302
65.2771,826.99585,323.547363,1.954036
41.931152,829.925537,310.455322,1.954771
45.227051,820.770264,290.588379,1.955527
46.783447,816.650391,270.812988,1.956269
12.542725,822.875977,258.270264,1.957011
14.73999,822.601318,250.030518,1.957754
2.838135,827.911377,253.051758,1.958505
-10.070801,826.99585,246.734619,1.959248
-18.768311,823.516846,263.671875,1.95999
-27.740479,836.334229,271.636963,1.960733
-37.719727,813.995361,305.328369,1.961485
-40.374756,817.474365,312.103271,1.962228
-12.542725,832.672119,343.87207,1.96297
-11.077881,838.07373,365.936279,1.963713
33.233643,855.194092,370.697021,1.964465
62.62207,852.081299,379.119873,1.965207
62.438965,853.45459,366.668701,1.96595
63.446045,857.849121,361.26709,1.966692
60.699463,856.567383,374.359131,1.967436
41.748047,853.912354,368.682861,1.968187
6.134033,849.060059,371.795654,1.968945
-4.760742,848.7854,380.767822,1.969693
-24.353027,851.806641,378.204346,1.970481
-54.382324,860.046387,369.415283,1.97123
-62.164307,846.588135,339.385986,1.971974
-91.003418,842.468262,319.519043,1.972768
-84.686279,840.270996,308.71582,1.973533
-80.200195,843.75,308.441162,1.974277
-74.615479,842.193604,300.65918,1.975021
-74.890137,845.672607,303.222656,1.975765
-65.093994,848.7854,306.060791,1.976518
-58.685303,853.179932,305.969238,1.977262
-50.994873,878.265381,322.998047,1.978006
-45.684814,905.731201,339.294434,1.97875
-29.571533,912.231445,358.612061,1.979494
-34.698486,926.605225,375.823975,1.980228
-23.620605,932.373047,398.4375,1.980963
-25.817871,957.550049,409.515381,1.981697
-29.388428,981.719971,414.18457,1.982457
-28.930664,964.233398,417.297363,1.983201
-23.071289,980.712891,418.945312,1.984027
-26.45874,985.38208,415.19165,1.984771
-31.951904,992.980957,409.790039,1.985527
-30.029297,1007.171631,415.374756,1.986271
-28.747559,1020.080566,402.740479,1.987015
-25.360107,1011.383057,414.642334,1.987759
-15.472412,1014.678955,411.071777,1.988515
-9.887695,1027.22168,416.015625,1.989259
-11.627197,1039.489746,415.740967,1.990002
