ACC_X,ACC_Y,ACC_Z,Time
-269.165039,875.152588,428.649902,1.387878
-276.672363,885.223389,431.304932,1.388628
-271.820068,881.195068,433.776855,1.389375
-276.672363,886.047363,436.981201,1.390143
-270.263672,885.040283,424.346924,1.390884
-276.489258,880.096436,426.452637,1.391623
-265.319824,880.462646,429.473877,1.392365
-278.411865,882.659912,433.319092,1.393122
-278.961182,877.716064,427.825928,1.393879
-283.630371,884.674072,421.142578,1.394618
-283.538818,888.336182,426.818848,1.395358
-288.482666,876.89209,419.311523,1.396109
-282.989502,881.011963,424.713135,1.396846
-282.25708,880.554199,420.318604,1.397587
-282.714844,883.026123,421.875,1.398333
-282.714844,878.265381,422.241211,1.399086
-284.454346,875.427246,422.698975,1.399827
-284.820557,880.737305,422.332764,1.400568
-289.581299,877.349854,424.438477,1.401308
-295.349121,874.145508,427.276611,1.402058
-292.510986,877.075195,420.959473,1.402799
-292.327881,876.251221,424.713135,1.403539
-285.186768,882.93457,422.332764,1.40428
-292.327881,876.617432,418.670654,1.405029
-289.94751,874.969482,402.740479,1.40577
-286.2854,879.455566,428.009033,1.406511
-291.687012,873.962402,423.065186,1.407251
-292.144775,874.694824,414.825439,1.408001
-289.581299,872.314453,421.508789,1.408742
-284.545898,873.321533,421.142578,1.409482
-285.095215,872.131348,419.311523,1.410222
-261.383057,868.743896,416.931152,1.410972
-289.398193,862.884521,416.8396,1.411713
-284.912109,863.800049,420.410156,1.412454
-285.369873,864.440918,411.071777,1.413194
-284.545898,870.849609,414.550781,1.413944
-303.405762,866.729736,416.8396,1.414686
-282.165527,867.279053,414.18457,1.415426
-279.785156,863.616943,417.572021,1.416167
-279.418945,872.2229,424.987793,1.416916
-283.355713,867.095947,415.19165,1.417657
-286.468506,866.18042,410.614014,1.418397
-285.186768,858.398438,420.501709,1.419138
-285.736084,863.433838,427.368164,1.419887
-288.391113,861.14502,423.706055,1.420628
-282.073975,857.849121,414.367676,1.421369
-284.545898,864.715576,415.19165,1.422109
-283.721924,860.778809,419.219971,1.42286
-285.186768,854.736328,415.466309,1.423601
-261.108398,854.644775,405.578613,1.424341
-280.700684,857.574463,413.543701,1.425081
-276.489258,858.306885,410.064697,1.425831
-278.320312,852.996826,415.83252,1.426572
-274.475098,861.968994,416.748047,1.427312
-273.376465,861.053467,421.051025,1.428053
-273.468018,858.48999,418.121338,1.428803
-282.623291,866.912842,426.818848,1.429544
-277.313232,862.060547,418.395996,1.430284
-271.728516,858.398438,418.304443,1.431025
-279.602051,865.631104,420.593262,1.431774
-283.905029,865.356445,422.149658,1.432609
-284.362793,857.116699,416.748047,1.433348
-283.447266,861.785889,422.88208,1.434088
-275.390625,867.828369,421.051025,1.434827
-284.454346,863.342285,428.192139,1.43557
-282.348633,864.898682,424.621582,1.436312
-282.531738,863.891602,427.55127,1.437052
-283.630371,862.426758,418.945312,1.437791
-279.785156,864.349365,434.326172,1.43853
-282.25708,864.532471,424.804688,1.439269
-277.862549,858.398438,425.628662,1.44002
-277.22168,853.912354,428.55835,1.440761
-274.108887,859.680176,425.811768,1.4415
-277.038574,859.588623,415.649414,1.442239
-276.763916,853.45459,417.480469,1.442988
-279.327393,851.348877,415.283203,1.443728
-282.623291,850.250244,410.797119,1.444467
-277.679443,855.377197,407.775879,1.445206
-279.693604,838.531494,401.824951,1.445944
-273.101807,850.158691,409.332275,1.446693
-270.355225,847.961426,405.303955,1.447431
-276.2146,843.383789,403.747559,1.44817
-274.841309,845.855713,405.029297,1.448909
-279.510498,846.313477,409.057617,1.449657
-277.954102,843.933105,414.916992,1.450396
-274.56665,849.060059,403.930664,1.451135
-269.989014,852.44751,409.423828,1.451873
-273.010254,836.151123,402.46582,1.452631
-275.57373,842.834473,398.986816,1.45337
-272.918701,836.517334,406.585693,1.45412
-271.911621,831.573486,408.599854,1.454864
-271.453857,837.615967,405.12085,1.455624
-276.763916,845.489502,411.712646,1.456368
-277.313232,849.884033,412.353516,1.457107
-277.496338,840.454102,412.719727,1.457846
-275.57373,839.263916,413.452148,1.458601
-271.362305,840.820312,409.14917,1.45934
-271.728516,842.285156,412.078857,1.460079
-272.918701,840.362549,406.768799,1.460833
-268.066406,848.7854,407.867432,1.461589
-271.087646,848.327637,411.987305,1.462337
-275.756836,843.475342,417.022705,1.463084
-269.53125,838.7146,407.13501,1.463825
-264.221191,850.708008,414.916992,1.464565
-272.369385,854.278564,418.579102,1.465305
-273.834229,846.496582,420.501709,1.466044
-272.186279,846.405029,417.663574,1.466783
-273.010254,848.7854,417.022705,1.467521
-266.601562,850.524902,411.071777,1.468259
-277.22168,847.961426,413.635254,1.468997
-273.742676,846.862793,417.755127,1.469761
-266.51001,849.609375,417.388916,1.470504
-272.003174,851.898193,412.994385,1.471245
-267.883301,849.060059,412.078857,1.471985
-268.066406,850.799561,412.261963,1.472726
-266.235352,852.172852,419.586182,1.473467
-266.967773,854.095459,415.466309,1.474208
-269.439697,852.813721,411.895752,1.474948
-268.341064,856.201172,411.346436,1.475689
-268.52417,855.834961,415.557861,1.476429
-268.249512,849.79248,414.459229,1.47717
-269.256592,855.651855,417.022705,1.47791
-267.150879,853.088379,420.043945,1.478651
-262.664795,850.158691,420.043945,1.479391
-258.544922,848.327637,431.945801,1.480132
-268.341064,850.067139,421.234131,1.480872
-270.904541,851.989746,422.332764,1.481614
-262.573242,852.630615,424.713135,1.482355
-270.53833,859.954834,424.163818,1.483096
-261.108398,857.48291,429.656982,1.483836
-266.876221,859.954834,434.692383,1.484631
-256.988525,856.750488,423.706055,1.485372
-263.397217,855.010986,424.89624,1.486113
-263.946533,853.363037,424.438477,1.486854
-267.608643,859.039307,423.706055,1.487595
-255.615234,856.109619,430.755615,1.488335
-258.911133,856.933594,421.325684,1.489076
-258.728027,850.524902,418.670654,1.489816
-263.305664,846.588135,414.276123,1.490557
-260.83374,847.77832,408.599854,1.491297
-260.559082,850.708008,416.015625,1.492037
-257.354736,849.517822,414.825439,1.492778
-258.81958,844.482422,412.902832,1.493518
-259.368896,846.496582,415.557861,1.494258
-258.178711,836.883545,406.12793,1.494998
-259.002686,839.630127,411.254883,1.495738
-253.143311,844.207764,420.593262,1.496496
-276.397705,837.70752,417.022705,1.497237
-257.171631,836.883545,416.8396,1.497978
-256.896973,835.510254,411.987305,1.498718
-255.157471,845.947266,419.036865,1.499459
-261.016846,840.270996,419.036865,1.500199
-262.390137,833.496094,410.980225,1.50094
-258.453369,837.890625,412.261963,1.50168
-253.051758,846.588135,413.635254,1.502422
-251.495361,846.679688,414.367676,1.503258
-254.608154,839.996338,411.987305,1.503998
-251.586914,847.412109,412.811279,1.504737
-253.051758,841.461182,411.621094,1.505491
-252.227783,823.974609,412.628174,1.50623
-258.728027,846.221924,415.466309,1.506968
-257.8125,845.76416,412.994385,1.507707
-252.7771,846.221924,414.642334,1.508455
-248.931885,840.179443,415.466309,1.509194
-254.882812,849.517822,416.931152,1.509932
-254.882812,853.820801,415.649414,1.510671
-259.552002,850.250244,418.395996,1.51142
-262.207031,850.982666,432.769775,1.512159
-253.051758,855.010986,427.276611,1.512897
-260.742188,859.680176,429.290771,1.513636
-257.995605,862.609863,424.987793,1.514384
-251.220703,857.666016,432.58667,1.515123
-260.467529,852.905273,427.093506,1.515862
-261.657715,856.384277,425.445557,1.5166
-264.404297,852.630615,424.987793,1.517339
-267.791748,862.976074,420.776367,1.518078
-263.85498,853.729248,419.586182,1.518817
