ACC_X,ACC_Y,ACC_Z,Time
-638.946533,250.12207,754.302979,1.520159
-624.755859,248.016357,757.324219,1.520901
-624.389648,253.967285,763.366699,1.521645
-618.347168,258.270264,767.211914,1.522419
-619.445801,253.692627,745.788574,1.523168
-612.487793,255.065918,733.520508,1.523959
-614.4104,245.727539,733.978271,1.524705
-615.142822,236.663818,717.956543,1.525446
-611.938477,229.888916,687.835693,1.526213
-605.163574,220.550537,673.553467,1.526992
-583.465576,219.451904,664.123535,1.527748
-579.162598,213.043213,652.313232,1.528525
-577.789307,208.92334,673.64502,1.529288
-575.500488,205.26123,647.277832,1.530076
-579.345703,205.078125,660.827637,1.530837
-570.19043,206.085205,676.757812,1.531591
-559.47876,217.346191,673.828125,1.532382
-571.19751,218.536377,669.891357,1.533154
-553.985596,204.162598,663.208008,1.53391
-562.591553,214.508057,663.574219,1.534661
-563.690186,209.564209,656.433105,1.53546
-565.704346,208.557129,659.637451,1.536249
-544.555664,213.134766,655.883789,1.537004
-554.260254,204.071045,665.679932,1.537792
-560.119629,211.94458,669.433594,1.538577
-546.478271,220.458984,681.518555,1.539323
-543.457031,221.64917,713.287354,1.540064
-546.936035,224.212646,721.069336,1.540805
-555.908203,228.057861,734.710693,1.541578
-562.683105,211.578369,757.232666,1.54232
-585.113525,227.142334,758.239746,1.543077
-585.388184,234.649658,771.057129,1.543819
-589.416504,253.875732,771.789551,1.54456
-597.473145,232.086182,770.324707,1.5453
-600.860596,209.655762,752.838135,1.546041
-603.33252,213.043213,731.231689,1.546781
-596.282959,211.669922,736.907959,1.547522
-593.536377,209.93042,729.400635,1.548263
-582.275391,195.831299,737.731934,1.549003
-581.634521,198.577881,745.147705,1.549752
-584.197998,198.394775,774.261475,1.550483
-571.289062,200.042725,781.768799,1.551214
-580.352783,206.085205,795.86792,1.551944
-581.359863,211.120605,797.698975,1.552682
-611.846924,216.247559,813.62915,1.553442
-609.466553,214.874268,824.157715,1.554184
-626.495361,211.669922,824.432373,1.554925
-635.83374,211.761475,828.186035,1.555692
-645.904541,204.89502,815.551758,1.556434
-643.066406,203.796387,797.332764,1.557175
-636.383057,190.246582,812.988281,1.557915
-638.397217,190.246582,816.192627,1.558658
-639.862061,184.112549,809.783936,1.559399
-616.882324,185.302734,787.902832,1.56014
-624.023438,181.274414,789.276123,1.560891
-625.396729,161.956787,787.445068,1.561645
-623.931885,154.632568,758.331299,1.562386
-620.544434,150.421143,758.056641,1.563127
-622.741699,137.237549,749.084473,1.563868
-614.868164,126.159668,746.429443,1.56462
-627.227783,110.137939,734.527588,1.565361
-644.348145,113.250732,725.921631,1.566106
-638.946533,104.736328,708.435059,1.566857
-641.876221,105.377197,713.470459,1.567687
-639.038086,97.686768,711.914062,1.568419
-622.558594,96.405029,713.287354,1.56915
-611.572266,94.299316,703.857422,1.569881
-601.776123,91.186523,708.068848,1.570637
-601.593018,71.502686,693.145752,1.571378
-597.015381,79.284668,688.934326,1.572118
-594.63501,81.481934,681.610107,1.572858
-588.95874,80.749512,683.807373,1.573599
-592.163086,78.00293,675.292969,1.57433
-590.240479,82.122803,668.518066,1.57506
-577.514648,84.320068,665.679932,1.57579
-583.557129,79.01001,665.679932,1.576547
-568.359375,72.967529,658.813477,1.577288
