ACC_X,ACC_Y,ACC_Z,Time
-27.557373,925.964355,346.618652,1.253402
-23.986816,924.316406,342.498779,1.254144
-15.197754,923.76709,339.019775,1.254885
-28.198242,922.119141,349.54834,1.255633
-31.951904,927.703857,346.343994,1.256382
-31.951904,921.295166,340.484619,1.257132
-26.641846,922.393799,341.308594,1.25788
-28.656006,923.126221,346.801758,1.258621
-32.226562,927.978516,338.928223,1.259362
-25.634766,938.690186,337.371826,1.260104
-35.980225,931.732178,347.076416,1.260846
-34.698486,934.753418,345.977783,1.261587
-33.782959,926.971436,338.928223,1.262329
-36.437988,928.436279,338.653564,1.263071
-32.318115,933.47168,339.569092,1.263813
-36.895752,931.091309,341.766357,1.264555
-37.078857,928.527832,342.224121,1.265297
-32.867432,930.908203,336.364746,1.266038
-35.247803,936.584473,343.780518,1.26678
-43.487549,935.211182,344.238281,1.267535
-43.121338,938.323975,339.111328,1.268278
-45.501709,927.886963,338.653564,1.26902
-38.909912,942.626953,349.273682,1.269762
-39.276123,942.993164,342.681885,1.270505
-45.776367,930.999756,341.674805,1.271246
-50.079346,938.323975,345.153809,1.271987
-45.318604,944.458008,343.87207,1.27273
-40.466309,937.316895,348.907471,1.273483
-37.17041,944.915771,350.006104,1.274233
-50.537109,933.380127,344.512939,1.27498
-53.100586,953.521729,345.88623,1.275721
-24.902344,945.922852,349.54834,1.276463
-38.360596,947.937012,351.837158,1.277208
-45.410156,940.429688,350.372314,1.27795
-45.043945,949.127197,346.160889,1.278692
-39.550781,944.274902,348.54126,1.279434
-41.473389,946.929932,344.696045,1.280177
-40.466309,949.859619,348.632812,1.280919
-40.740967,951.049805,351.104736,1.281661
-38.360596,938.873291,341.400146,1.282403
-40.466309,941.345215,347.625732,1.283145
-38.543701,940.52124,345.611572,1.283886
-39.276123,944.915771,332.977295,1.284627
-41.931152,937.316895,342.407227,1.285388
-23.620605,939.239502,344.329834,1.286133
-43.395996,940.155029,345.52002,1.286875
-48.706055,946.929932,343.048096,1.287617
-43.487549,941.436768,331.604004,1.28836
-33.050537,937.316895,338.378906,1.289103
-37.078857,938.598633,346.5271,1.289846
-35.15625,937.316895,342.224121,1.290589
-36.16333,933.105469,348.266602,1.291334
-29.388428,938.049316,344.055176,1.292078
-34.240723,946.014404,353.118896,1.292822
-36.437988,932.098389,342.132568,1.293564
-34.973145,930.358887,346.343994,1.294306
-36.804199,927.337646,341.033936,1.295047
-40.649414,937.683105,347.076416,1.295789
-34.057617,931.82373,335.81543,1.29653
-31.494141,924.499512,350.280762,1.297271
-34.790039,930.81665,341.85791,1.298013
-28.198242,932.281494,345.703125,1.298754
-26.092529,925.964355,342.407227,1.299496
-21.331787,934.387207,340.85083,1.300238
-19.683838,933.654785,345.794678,1.300981
-24.536133,927.978516,344.604492,1.301722
-18.676758,934.204102,338.745117,1.302464
-19.958496,928.527832,341.125488,1.303222
-14.190674,940.612793,347.625732,1.303965
-15.655518,931.915283,344.421387,1.304706
-16.571045,930.175781,343.414307,1.305448
-10.986328,932.739258,348.724365,1.306189
-15.106201,935.028076,350.189209,1.30693
-16.845703,928.161621,341.400146,1.307672
-10.620117,931.365967,342.590332,1.308496
-15.838623,937.957764,343.048096,1.309238
-15.930176,933.288574,348.907471,1.309979
-19.134521,929.626465,350.097656,1.310721
-13.549805,927.886963,343.139648,1.311463
-8.148193,927.062988,343.139648,1.312205
-15.74707,930.267334,345.428467,1.312946
-12.908936,926.422119,341.674805,1.313688
-12.268066,932.4646,341.491699,1.31443
-10.528564,928.527832,342.86499,1.315171
-15.838623,924.041748,345.062256,1.315913
-18.310547,924.499512,343.597412,1.316654
-22.888184,928.344727,336.090088,1.317396
-13.73291,923.950195,340.026855,1.318138
-23.162842,920.471191,339.84375,1.31888
-22.888184,922.668457,335.266113,1.319622
-25.177002,915.435791,338.104248,1.320363
-19.500732,925.048828,338.012695,1.321118
-14.373779,923.309326,347.351074,1.32186
-15.472412,926.513672,345.52002,1.322601
-15.289307,931.45752,341.674805,1.323342
-14.007568,929.80957,351.287842,1.32409
-13.549805,927.062988,341.033936,1.324832
-8.789062,931.915283,337.646484,1.325573
-23.162842,931.732178,348.999023,1.326315
-19.317627,930.450439,350.006104,1.327067
-19.683838,932.922363,352.56958,1.327809
-22.979736,927.886963,351.379395,1.328554
-22.43042,925.231934,348.175049,1.329302
-27.191162,919.830322,345.703125,1.330051
-21.606445,929.077148,351.196289,1.330798
-17.578125,930.175781,345.88623,1.331538
-16.75415,917.541504,340.301514,1.332278
-22.247314,927.246094,342.86499,1.333018
-29.205322,922.393799,340.85083,1.333758
-23.4375,926.147461,343.597412,1.334498
-22.247314,925.689697,347.900391,1.335238
-22.521973,924.224854,342.315674,1.335994
-21.148682,920.10498,347.625732,1.336736
-21.148682,924.041748,346.252441,1.337475
-26.550293,921.295166,349.639893,1.338215
-28.4729,916.168213,357.055664,1.338966
-33.508301,919.006348,356.689453,1.339706
-25.634766,918.457031,350.646973,1.340446
-37.445068,918.365479,339.84375,1.341186
-36.529541,920.288086,338.562012,1.341936
-34.698486,922.668457,340.118408,1.342676
-34.881592,920.013428,338.928223,1.343416
-33.782959,928.710938,343.780518,1.344157
-27.374268,923.950195,344.787598,1.344898
-32.684326,918.273926,337.554932,1.345641
-29.754639,915.802002,339.84375,1.346383
-29.022217,916.259766,339.019775,1.347123
-27.557373,920.379639,349.182129,1.347864
-28.381348,926.055908,355.224609,1.348604
-29.11377,932.4646,350.006104,1.349344
-31.12793,920.837402,344.787598,1.350085
-24.719238,923.400879,346.160889,1.350825
-27.832031,924.041748,345.062256,1.351565
-26.824951,923.400879,346.343994,1.352305
-30.487061,921.203613,344.787598,1.353045
-28.839111,924.499512,348.815918,1.353786
-27.648926,923.309326,333.80127,1.354526
-25.360107,927.612305,345.52002,1.355266
-24.719238,922.302246,342.315674,1.356006
-23.071289,917.907715,338.562012,1.356748
-28.106689,922.668457,342.681885,1.357489
-34.423828,927.978516,349.365234,1.358229
-36.437988,921.75293,339.660645,1.358969
-34.14917,926.147461,338.653564,1.359709
-36.437988,929.168701,344.87915,1.36045
-34.14917,927.612305,340.209961,1.36119
-35.614014,918.823242,340.942383,1.361931
-37.353516,926.971436,336.547852,1.362673
-33.599854,928.161621,341.125488,1.363413
-32.13501,918.548584,339.294434,1.364154
-32.592773,925.231934,340.301514,1.364895
-35.705566,922.851562,348.449707,1.365637
-34.973145,920.10498,340.484619,1.366379
-27.648926,923.400879,347.442627,1.367121
-25.360107,918.09082,343.597412,1.367862
-33.782959,918.823242,334.899902,1.368623
-25.360107,928.527832,339.752197,1.369365
-34.057617,918.548584,340.118408,1.370105
-35.888672,920.654297,337.738037,1.370845
-34.698486,917.541504,338.378906,1.371585
-27.46582,918.731689,339.019775,1.372325
-33.782959,911.04126,332.885742,1.373065
-29.296875,910.766602,334.991455,1.373806
-32.13501,910.766602,341.125488,1.374555
-31.768799,893.096924,331.237793,1.375295
-32.775879,920.837402,337.738037,1.376035
-33.325195,914.154053,332.15332,1.376775
