Value,Accuracy,Precision,Recall,F1-score
0.01,0.93,0.92,0.96,0.94
0.02,0.94,0.94,0.96,0.95
0.03,0.95,0.96,0.96,0.96
0.04,0.95,0.96,0.96,0.96
0.05,0.95,0.96,0.96,0.96
0.060000000000000005,0.95,0.96,0.96,0.96
0.06999999999999999,0.94,0.96,0.94,0.95
0.08,0.94,0.96,0.94,0.95
0.09,0.94,0.96,0.94,0.95
0.09999999999999999,0.93,0.96,0.92,0.94
0.11,0.93,0.96,0.92,0.94
0.12,0.93,0.96,0.92,0.94
0.13,0.93,0.96,0.92,0.94
0.14,0.93,0.94,0.94,0.94
0.15000000000000002,0.93,0.94,0.94,0.94
0.16,0.93,0.94,0.94,0.94
0.17,0.93,0.94,0.94,0.94
0.18000000000000002,0.93,0.94,0.94,0.94
0.19,0.93,0.94,0.94,0.94
0.2,0.91,0.92,0.94,0.93
